"study_id","site_id","core_id","core_year","core_latitude","core_longitude","core_position_method","core_position_notes","core_elevation","core_elevation_datum","core_elevation_method","core_elevation_notes","salinity_class","salinity_method","salinity_notes","vegetation_class","peat_depth","core_length","porewater_salinity","pH","peat_depth_notes","depth_min","depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes","representative_depth_min","representative_depth_max"
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-1",2017,46.1924,-123.5807,"RTK-GPS",NA,2.54,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,5,10,0.494596478995991,0.0584719276428223,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-1",2017,46.1924,-123.5807,"RTK-GPS",NA,2.54,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,20,25,0.372494335018302,0.0942159843444824,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-1",2017,46.1924,-123.5807,"RTK-GPS",NA,2.54,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,37,42,0.644674917204114,0.0515598011016846,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-1",2017,46.1924,-123.5807,"RTK-GPS",NA,2.54,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,72,77,0.565190866306432,0.0587605381011963,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-1",2017,46.1924,-123.5807,"RTK-GPS",NA,2.54,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,NA,NA,0.481436290744291,0.0738080310821533,"vertical slice of 5cm taken within the given representative depth range",100,250
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forested",280,280,NA,NA,NA,5,10,0.343820812271222,0.103981676101685,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forested",280,280,NA,NA,NA,20,25,0.340073208994248,0.125911865234375,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forested",280,280,NA,NA,NA,37,42,0.377026320376503,0.112262163162231,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forested",280,280,NA,NA,NA,72,77,0.475858462611121,0.110436658859253,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forested",280,280,NA,NA,NA,NA,NA,0.456510371274185,0.0609348249435425,"vertical slice of 5cm taken within the given representative depth range",100,280
