"study_id","site_id","transect_id","plot_id","core_id","year","month","day","latitude","longitude","position_method","section_n","max_depth","habitat","site_description","ecotype","protection_status","protection_notes","ecosystem_health","pH","salinity","ORP","inundation_notes","tree_count","dominant_species","plot_sediment_carbon","plot_sediment_carbon_1m","plot_biomass_carbon","total_ecosystem_carbon","total_ecosystem_carbon_1m","depth_min","depth_max","soil_organic_matter","soil_total_carbon","soil_inorganic_carbon","soil_organic_carbon","soil_nitrogen","dry_bulk_density","soil_carbon_density_total","soil_carbon_density_inorganic","soil_carbon_density_organic","carbon_stock_total","carbon_stock_inorganic","carbon_stock_organic","fraction_carbon","fraction_nitrogen","core_latitude","core_longitude","Habitat_type"
"Morrissette_et_al_2023","Hicks Caye","1",1,"Hicks Caye_1_1_mangrove",2021,9,2,17.691465,-88.11592,"handheld",1,94,"mangrove","15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves","Caye","National Legislation",NA,"healthy",6.56,57,-148,"falling (plots 1-4) to low tide (plots 5-6)",49,"Rhizophora mangle",410.4681429,410.4681429,111.371424,521.8395669,521.8395669,0,5,33.9703,19.7378,6.3481,13.3897,0.998,0.3012,0.0594,0.0191,0.0403,29.7249,9.5602,20.1648,0.133897,0.00998,17.691465,-88.11592,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",1,"Hicks Caye_1_1_mangrove",2021,9,2,17.691465,-88.11592,"handheld",1,94,"mangrove","15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves","Caye","National Legislation",NA,"healthy",6.56,57,-148,"falling (plots 1-4) to low tide (plots 5-6)",49,"Rhizophora mangle",410.4681429,410.4681429,111.371424,521.8395669,521.8395669,5,10,27.8195,17.4667,6.38,11.0867,0.8842,0.409,0.0714,0.0261,0.0453,35.7183,13.0466,22.6716,0.110867,0.008842,17.691465,-88.11592,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",1,"Hicks Caye_1_1_mangrove",2021,9,2,17.691465,-88.11592,"handheld",1,94,"mangrove","15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves","Caye","National Legislation",NA,"healthy",6.56,57,-148,"falling (plots 1-4) to low tide (plots 5-6)",49,"Rhizophora mangle",410.4681429,410.4681429,111.371424,521.8395669,521.8395669,10,15,27.2168,16.4399,5.8746,10.5653,0.8691,0.31,0.051,0.0182,0.0328,25.4837,9.1063,16.3774,0.105653,0.008691,17.691465,-88.11592,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",1,"Hicks Caye_1_1_mangrove",2021,9,2,17.691465,-88.11592,"handheld",1,94,"mangrove","15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves","Caye","National Legislation",NA,"healthy",6.56,57,-148,"falling (plots 1-4) to low tide (plots 5-6)",49,"Rhizophora mangle",410.4681429,410.4681429,111.371424,521.8395669,521.8395669,15,20,38.5867,19.475,0,19.475,0.945,0.26,0.0506,0,0.0506,25.319,0,25.319,0.19475,0.00945,17.691465,-88.11592,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",1,"Hicks Caye_1_1_mangrove",2021,9,2,17.691465,-88.11592,"handheld",1,94,"mangrove","15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves","Caye","National Legislation",NA,"healthy",6.56,57,-148,"falling (plots 1-4) to low tide (plots 5-6)",49,"Rhizophora mangle",410.4681429,410.4681429,111.371424,521.8395669,521.8395669,20,25,45.7097,39.1774,0,39.1774,2.1187,0.2062,0.0808,0,0.0808,40.3972,0,40.3972,0.391774,0.021187,17.691465,-88.11592,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",1,"Hicks Caye_1_1_mangrove",2021,9,2,17.691465,-88.11592,"handheld",1,94,"mangrove","15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves","Caye","National Legislation",NA,"healthy",6.56,57,-148,"falling (plots 1-4) to low tide (plots 5-6)",49,"Rhizophora mangle",410.4681429,410.4681429,111.371424,521.8395669,521.8395669,25,30,52.9685,24.4161,0,24.4161,1.0982,0.1896,0.0463,0,0.0463,23.1498,0,23.1498,0.244161,0.010982,17.691465,-88.11592,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",1,"Hicks Caye_1_1_mangrove",2021,9,2,17.691465,-88.11592,"handheld",1,94,"mangrove","15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves","Caye","National Legislation",NA,"healthy",6.56,57,-148,"falling (plots 1-4) to low tide (plots 5-6)",49,"Rhizophora mangle",410.4681429,410.4681429,111.371424,521.8395669,521.8395669,30,35,56.1487,25.795,0,25.795,1.0103,0.1879,0.0485,0,0.0485,24.2404,0,24.2404,0.25795,0.010103,17.691465,-88.11592,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",1,"Hicks Caye_1_1_mangrove",2021,9,2,17.691465,-88.11592,"handheld",1,94,"mangrove","15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves","Caye","National Legislation",NA,"healthy",6.56,57,-148,"falling (plots 1-4) to low tide (plots 5-6)",49,"Rhizophora mangle",410.4681429,410.4681429,111.371424,521.8395669,521.8395669,35,40,62.3078,28.4127,0,28.4127,0.8853,0.2415,0.0686,0,0.0686,34.3121,0,34.3121,0.284127,0.008853,17.691465,-88.11592,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",1,"Hicks Caye_1_1_mangrove",2021,9,2,17.691465,-88.11592,"handheld",1,94,"mangrove","15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves","Caye","National Legislation",NA,"healthy",6.56,57,-148,"falling (plots 1-4) to low tide (plots 5-6)",49,"Rhizophora mangle",410.4681429,410.4681429,111.371424,521.8395669,521.8395669,40,45,67.549,32.8478,0,32.8478,0.7456,0.3026,0.0994,0,0.0994,49.6928,0,49.6928,0.328478,0.007456,17.691465,-88.11592,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",1,"Hicks Caye_1_1_mangrove",2021,9,2,17.691465,-88.11592,"handheld",1,94,"mangrove","15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves","Caye","National Legislation",NA,"healthy",6.56,57,-148,"falling (plots 1-4) to low tide (plots 5-6)",49,"Rhizophora mangle",410.4681429,410.4681429,111.371424,521.8395669,521.8395669,45,50,66.451,32.066,0,32.066,0.768,0.2959,0.0949,0,0.0949,47.4489,0,47.4489,0.32066,0.00768,17.691465,-88.11592,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",1,"Hicks Caye_1_1_mangrove",2021,9,2,17.691465,-88.11592,"handheld",1,94,"mangrove","15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves","Caye","National Legislation",NA,"healthy",6.56,57,-148,"falling (plots 1-4) to low tide (plots 5-6)",49,"Rhizophora mangle",410.4681429,410.4681429,111.371424,521.8395669,521.8395669,72.5,77.5,13.8945,13.5244,8.6446,4.8798,0.3786,0.4969,0.0672,0.043,0.0242,295.7034,189.0094,106.6941,0.048798,0.003786,17.691465,-88.11592,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,0,5,58.3295,28.386,0,28.386,1.312,0.1748,0.0496,0,0.0496,24.8115,0,24.8115,0.28386,0.01312,17.691475,-88.116119,"mangrove"
