"study_id","site_id","core_id","core_year","core_latitude","core_longitude","core_position_method","core_position_notes","salinity_class","salinity_method","vegetation_class","vegetation_method","core_length_flag","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","cs137_activity","cs137_activity_se","depth_interval_notes","fraction_nitrogen","Habitat_type"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",0,2,0.111,0.560239,0.234923,11.3614,5.9149,NA,0.016801,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",2,4,0.1236,0.630635,0.290962,10.0859,2.2795,NA,0.018457,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",4,6,0.1249,0.62,0.276619,25.0827,7.3878,NA,0.016265,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",6,8,0.1325,0.576538,0.262974,4.5625,19.8601,NA,0.014891,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",8,10,0.1259,0.634226,0.299663,7.3956,3.1949,NA,0.015139,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",10,12,0.1412,0.573956,0.275475,20.1515,2.7701,NA,0.01615,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",12,14,0.168,0.467199,0.200634,20.6859,5.1715,NA,0.013545,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",14,16,0.1123,0.698673,0.319216,33.4505,3.5458,NA,0.019285,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",16,18,0.1176,0.659275,0.3054,58.2504,6.2411,NA,0.017802,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",18,20,0.192,0.425506,0.189038,84.5584,6.5942,NA,0.012347,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",20,22,0.1826,0.416201,0.173773,118.9766,5.1587,NA,0.012797,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",22,24,0.1891,0.441219,0.194707,151.6575,4.0619,NA,0.014861,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",24,26,0.1767,0.46301,0.214259,163.8486,4.8155,NA,0.016886,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",26,28,0.1745,0.51836,0.245766,166.4924,4.8411,NA,0.019607,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",28,30,0.1505,0.582432,0.241698,123.4171,4.3211,NA,0.01768,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",30,32,0.2034,0.416558,0.182847,86.2338,2.6177,NA,0.014559,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",32,34,0.2251,0.362528,0.149327,54.0057,3.7817,NA,0.012486,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",34,36,0.1698,0.570281,0.250071,46.9815,3.8509,NA,0.01587,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",36,38,0.1251,0.683735,0.304659,68.9141,6.2817,NA,0.018362,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",38,40,0.1439,0.588826,0.275835,20.7205,6.2948,NA,0.016855,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_1",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",40,42,0.168,0.554048,0.26622,29.373,2.4137,NA,0.015044,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",0,2,0.1428,0.336315,0.14399,43.6321,3.6135,NA,0.010058,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",2,4,0.1883,0.357678,0.155699,15.6459,10.9483,NA,0.014198,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",4,6,0.1097,0.615438,0.157351,10.0451,2.1115,NA,0.034191,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",6,8,0.1035,0.749609,0.303768,9.8891,2.4987,NA,0.018004,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",8,10,0.1156,0.681752,0.287757,14.8127,8.603,NA,0.016883,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",10,12,0.138,0.549524,0.227893,11.7625,2.2766,NA,0.01261,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",12,14,0.1367,0.556172,0.22539,14.0846,3.1907,NA,0.012277,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",14,16,0.127,0.580734,0.253395,11.0165,3.0189,NA,0.014901,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",16,18,0.1208,0.646722,0.290669,26.5417,2.3305,NA,0.015745,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",18,20,0.1205,0.680113,0.29788,25.4441,3.1519,NA,0.015612,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",20,22,0.1177,0.662427,0.275864,33.1299,3.5313,NA,0.014818,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",22,24,0.1298,0.529863,0.244368,50.484,3.1424,NA,0.0142,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",24,26,0.1536,0.469819,0.20276,118.451,3.3956,NA,0.012547,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",26,28,0.1571,0.463891,0.206616,146.3347,3.6265,NA,0.013174,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",28,30,0.137,0.583373,0.25456,159.9793,3.7161,NA,0.018527,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",30,32,0.114,0.664651,0.272681,119.8385,4.456,NA,0.018414,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",32,34,0.1062,0.665492,0.32445,90.0681,4.2623,NA,0.024395,"saltmarsh"
