"study_id","site_id","core_id","core_year","core_month","core_day","core_latitude","core_longitude","core_position_method","core_position_notes","core_elevation_notes","salinity_class","vegetation_class","vegetation_method","inundation_class","core_length_flag","depth_min","depth_max","sample_id","dry_bulk_density","fraction_organic_matter","total_pb210_activity","total_pb210_activity_sd","ra226_activity","ra226_activity_sd","excess_pb210_activity","excess_pb210_activity_sd","delta_c13","core_diameter","decompressed_depth_max","wet_weight","dry_weight","accumulated_mass","mid_section_accumulated_mass","cn_ratio","delta_n15","k40_activity","k40_activity_sd","fraction_organic_carbon","fraction_estimated_organic_carbon","fraction_inorganic_carbon","fraction_nitrogen","fraction_h2o","Habitat_type"
"Arias-Ortiz_et_al_2021","US-MyB","Typha M1",2019,10,23,38.049846,-121.765356,"other moderate resolution","cell phone used to obtain coordinates","Core elevation not measured, but all cores sampled were below mean sea level","brackish","emergent","field observation","back","core depth limited by length of corer",0,1,"MB1001",0.296378335025727,0.555729984301413,57.3458546045398,3.00840926804567,NA,NA,38.9208546045398,3.30934681229741,-28.0653856420421,10,1.42666666666667,102.9275,23.2775,0.296378335025727,0.148189167512864,14.0083955023656,2.21752841343768,NA,NA,0.263980062374283,0.263980062374283,0.0276295133437968,0.0219873537609443,0.773845668067329,"mangrove"
"Arias-Ortiz_et_al_2021","US-MyB","Typha M1",2019,10,23,38.049846,-121.765356,"other moderate resolution","cell phone used to obtain coordinates","Core elevation not measured, but all cores sampled were below mean sea level","brackish","emergent","field observation","back","core depth limited by length of corer",1,2,"MB1002",0.148682547836449,0.562235067437381,57.6330372406342,3.16693626498195,NA,NA,39.2080372406342,3.45408964945292,-27.6510323337237,10,2.85333333333333,63.0575,11.6775,0.445060882862176,0.370719608943952,14.6893168702847,2.42785693196015,NA,NA,0.273230921216925,0.273230921216925,0.0267822736030821,0.021700764637412,0.814811878047814,"mangrove"
"Arias-Ortiz_et_al_2021","US-MyB","Typha M1",2019,10,23,38.049846,-121.765356,"other moderate resolution","cell phone used to obtain coordinates","Core elevation not measured, but all cores sampled were below mean sea level","brackish","emergent","field observation","back","core depth limited by length of corer",2,3,"MB1003",0.160014379784592,0.540825285338015,55.5458296733385,2.93925791067758,NA,NA,37.1208296733385,3.24661162837206,-27.2350259598009,10,4.28,74.9075,12.5675,0.605075262646768,0.525068072754472,13.8891066776713,2.45493162183419,NA,NA,0.253900043530702,0.253900043530702,0.028680128767923,0.0213272692280991,0.83222641257551,"mangrove"
"Arias-Ortiz_et_al_2021","US-MyB","Typha M1",2019,10,23,38.049846,-121.765356,"other moderate resolution","cell phone used to obtain coordinates","Core elevation not measured, but all cores sampled were below mean sea level","brackish","emergent","field observation","back","core depth limited by length of corer",3,4,"MB1004",0.137605363797253,0.49980095541401,54.0728973778804,2.42575670085803,NA,NA,35.6478973778804,2.79025905101258,-26.9401230667102,10,5.70666666666667,59.6475,10.8075,0.74268062644402,0.673877944545394,14.9449768231592,2.57039438730772,NA,NA,0.246498719632775,0.246498719632775,0.0278662420382166,0.0192504840708476,0.81881051175657,"mangrove"
"Arias-Ortiz_et_al_2021","US-MyB","Typha M1",2019,10,23,38.049846,-121.765356,"other moderate resolution","cell phone used to obtain coordinates","Core elevation not measured, but all cores sampled were below mean sea level","brackish","emergent","field observation","back","core depth limited by length of corer",4,5,"MB1005",0.482016660648114,0.391627375339334,29.6646289653084,1.50810276857597,17.45,1.49,11.2396289653084,2.04343435436192,NA,10,7.13333333333333,112.8375,37.8575,1.22469728709213,0.983688956768078,NA,NA,NA,NA,NA,0.181904843549079,0.0278611230175739,NA,0.664495402680847,"mangrove"
"Arias-Ortiz_et_al_2021","US-MyB","Typha M1",2019,10,23,38.049846,-121.765356,"other moderate resolution","cell phone used to obtain coordinates","Core elevation not measured, but all cores sampled were below mean sea level","brackish","emergent","field observation","back","core depth limited by length of corer",5,6,"MB1006",0.694393016709939,0.349581993569133,23.3506157165551,1.43641129481154,NA,NA,4.92561571655512,1.99111210328855,-26.1211860572652,10,8.56,121.8675,54.5375,1.91909030380207,1.5718937954471,16.1817235527924,2.04653426574357,NA,NA,0.168689547000342,0.168689547000342,0.0258520900321548,0.0121621452040217,0.552485281145506,"mangrove"
"Arias-Ortiz_et_al_2021","US-MyB","Typha M1",2019,10,23,38.049846,-121.765356,"other moderate resolution","cell phone used to obtain coordinates","Core elevation not measured, but all cores sampled were below mean sea level","brackish","emergent","field observation","back","core depth limited by length of corer",6,7,"MB1007",0.462281447704719,0.336063024774541,20.2457736774172,1.20819245456157,NA,NA,1.82077367741721,1.83329730465615,NA,10,9.98666666666667,76.8475,36.3075,2.38137175150679,2.15023102765443,NA,NA,NA,NA,NA,0.15340033170934,0.0267440655125948,NA,0.527538306386024,"mangrove"
"Arias-Ortiz_et_al_2021","US-MyB","Typha M1",2019,10,23,38.049846,-121.765356,"other moderate resolution","cell phone used to obtain coordinates","Core elevation not measured, but all cores sampled were below mean sea level","brackish","emergent","field observation","back","core depth limited by length of corer",7,8,"MB1008",0.597244839446646,0.330628996850243,20.2529834397868,1.07328799970498,NA,NA,1.8279834397868,1.74734001565543,-26.2543609330381,10,11.4133333333333,92.1475,46.9075,2.97861659095344,2.67999417123012,17.9914125471783,1.74320422955208,NA,NA,0.155148413021559,0.155148413021559,0.0285387038274312,0.0100607154320895,0.490952006294257,"mangrove"
"Arias-Ortiz_et_al_2021","US-MyB","Typha M1",2019,10,23,38.049846,-121.765356,"other moderate resolution","cell phone used to obtain coordinates","Core elevation not measured, but all cores sampled were below mean sea level","brackish","emergent","field observation","back","core depth limited by length of corer",8,9,"MB1009",0.762384008398797,0.320872274143303,21.2143462097121,1.24381863044418,NA,NA,2.78934620971214,1.85696924730595,NA,10,12.84,119.1175,59.8775,3.74100059935224,3.35980859515284,NA,NA,NA,NA,NA,0.145607476635515,0.0329499161274862,NA,0.497324070770458,"mangrove"
"Arias-Ortiz_et_al_2021","US-MyB","Typha M1",2019,10,23,38.049846,-121.765356,"other moderate resolution","cell phone used to obtain coordinates","Core elevation not measured, but all cores sampled were below mean sea level","brackish","emergent","field observation","back","core depth limited by length of corer",9,10,"MB1010",0.576236386958516,0.333824148085822,18.6147062119846,1.18543802362267,NA,NA,0.189706211984561,1.81838205772341,-26.4425132166924,10,14.2666666666667,88.8275,45.2575,4.31723698631075,4.02911879283149,16.8940985562785,1.74438115143815,NA,NA,0.147785635514022,0.147785635514022,0.0274505679427854,0.0102057280056699,0.490501252427458,"mangrove"
