alpha.3,area_tidal_marsh_km2,area_mangrove_km2,area_total_km2,car_marsh,car_mangrove,car_total_ggy,nar_marsh,nar_mangrove,nar_total
ABW,0,0.99,0.99,0,0.12,0.12,0,0.005610098,0.00561
AGO,0,302.12,302.12,0,32.86,32.86,0,1.536231884,1.536232
AIA,0,0.05,0.05,0,0.01,0.01,0,0.000467508,0.000468
ALA,0.82,0,0.82,0.26,0,0.26,0.017403,0,0.017403
ALB,46.62,0,46.62,14.94,0,14.94,1,0,1
ARE,47.79,120.51,168.3,0.99,2.44,3.42,0.066265,0.114071996,0.180337
ARG,1188.7,0,1188.7,382.29,0,382.22,25.588353,0,25.588353
ASM,0,0,0,0,0,0,0,0,0
ATG,0,9.25,9.25,0,1.16,1.16,0,0.054230949,0.054231
AUS,14933.44,9552.53,24485.96,4110.64,2751.99,6864.3,275.14324,128.657784,403.801024
BEL,4.76,0,4.76,1.21,0,1.21,0.080991,0,0.080991
BEN,0,42.88,42.88,0,8.94,8.94,0,0.417952314,0.417952
BES,0,2.43,2.43,0,0.3,0.3,0,0.014025245,0.014025
BGD,0,4473.66,4473.66,0,251.35,251.16,0,11.75081814,11.750818
BGR,0.32,0,0.32,0.1,0,0.1,0.006693,0,0.006693
BHR,0,0.85,0.85,0,0.02,0.02,0,0.000935016,0.000935
BHS,0,800.77,800.77,0,100.14,100.15,0,4.681626928,4.681627
BLM,0,0.03,0.03,0,0,0,0,0,0
BLZ,0,570.74,570.74,0,61.02,61.02,0,2.852734923,2.852735
BMU,0,0.1,0.1,0,0.02,0.02,0,0.000935016,0.000935
BRA,929.87,10656.81,11586.68,299.04,2965.7,3264.86,20.016064,138.6489014,158.664966
BRB,0,0.35,0.35,0,0.05,0.05,0,0.002337541,0.002338
BRN,0,123.17,123.17,0,65.05,65.05,0,3.04114072,3.041141
CAN,1927.28,0,1927.28,311.18,0,311.18,20.828648,0,20.828648
CHL,9.24,0,9.24,2.97,0,2.97,0.198795,0,0.198795
CHN,5448.75,171.86,5620.6,1190.09,47.61,1238.59,79.657965,2.225806452,81.883772
CIV,0,43.14,43.14,0,11.8,11.8,0,0.551659654,0.55166
CMR,0,2229.17,2229.17,0,211.72,212.08,0,9.898083216,9.898083
COD,0,218.87,218.87,0,23.81,23.81,0,1.11313698,1.113137
COL,0,2127.82,2127.82,0,628.88,628.47,0,29.40065451,29.400655
COM,0,1.09,1.09,0,0.21,0.21,0,0.009817672,0.009818
CRI,0,390.35,390.35,0,89.23,89.23,0,4.171575503,4.171576
CUB,0,4466.2,4466.2,0,708.02,708.21,0,33.10051426,33.100514
CUW,0,0.77,0.77,0,0.1,0.1,0,0.004675082,0.004675
CYM,0,75.87,75.87,0,18.73,18.73,0,0.875642824,0.875643
CYP,19.61,0,19.61,0.19,0,0.19,0.012718,0,0.012718
DEU,197.04,0,197.04,67.53,0,67.53,4.52008,0,4.52008
DJI,0,5.51,5.51,0,0.11,0.11,0,0.00514259,0.005143
DNK,303.63,0,303.63,92.54,0,92.54,6.19411,0,6.19411
DOM,0,180.5,180.5,0,22.57,22.57,0,1.055165965,1.055166
ECU,9.36,1396.9,1406.25,2.98,442.12,445.33,0.199465,20.66947172,20.868936
EGY,0,0.34,0.34,0,0,0,0,0,0
ERI,0,49.7,49.7,0,0.95,0.95,0,0.044413277,0.044413
ESP,883.78,0,883.78,117.64,0,117.64,7.874163,0,7.874163
EST,3.89,0,3.89,1.25,0,1.25,0.083668,0,0.083668
FIN,131.93,0,131.93,42.29,0,42.29,2.830656,0,2.830656
FJI,0,1102.36,1102.36,0,62.54,62.54,0,2.923796166,2.923796
FRA,800.8,0,800.8,120.99,0,120.99,8.098394,0,8.098394
FSM,0,88.21,88.21,0,24.31,24.31,0,1.136512389,1.136512
GAB,480,1589.25,2069.25,50.59,166.82,217.41,3.386212,7.798971482,11.185183
GBR,572.33,0,572.33,73.5,0,73.5,4.919679,0,4.919679
GHA,0,114.03,114.03,0,24.66,24.66,0,1.152875175,1.152875
GIN,0,2382.31,2382.31,0,651.61,651.61,0,30.46330061,30.463301
GLP,0,30.14,30.14,0,3.77,3.77,0,0.176250584,0.176251
GMB,0,712.38,712.38,0,194.85,194.85,0,9.109396914,9.109397
GNB,0,2662.45,2662.45,0,728.23,728.85,0,34.04534829,34.045348
GNQ,0,232.57,232.57,0,24.38,24.38,0,1.139784946,1.139785
GRD,0,2.12,2.12,0,0.32,0.32,0,0.014960262,0.01496
GTM,0,350.69,350.69,0,41.62,41.62,0,1.945769051,1.945769
GUF,0,885.1,885.1,0,252.67,252.3,0,11.81252922,11.812529
GUM,0.08,0.32,0.4,0.02,0.09,0.11,0.001339,0.004207574,0.005546
GUY,0,235.25,235.25,0,58.72,58.72,0,2.745208041,2.745208
HKG,0.01,7.55,7.56,0,3.64,3.65,0,0.170172978,0.170173
HND,0,676.91,676.91,0,117.2,117.21,0,5.479195886,5.479196
HRV,5.38,0,5.38,1.72,0,1.72,0.115127,0,0.115127
HTI,0,146.67,146.67,0,18.34,18.34,0,0.857410005,0.85741
IDN,0,27987.28,27987.28,0,14709.61,14706.87,0,687.686302,687.686302
IND,0,4134.28,4134.28,0,488.67,488.67,0,22.8457223,22.845722
IRL,98.86,0,98.86,12.7,0,12.7,0.850067,0,0.850067
IRN,20,120.99,140.99,0.35,2.04,2.39,0.023427,0.095371669,0.118799
ISL,26.17,0,26.17,3.36,0,3.36,0.2249,0,0.2249
ITA,439.42,0,439.42,132.89,0,132.89,8.894913,0,8.894913
JAM,0,98.46,98.46,0,12.31,12.31,0,0.575502571,0.575503
JPN,0,10,10,0,1.86,1.86,0,0.086956522,0.086957
KEN,0,399.48,399.48,0,11.59,11.59,0,0.541841982,0.541842
KHM,0,476.07,476.07,0,148.1,148.1,0,6.923796166,6.923796
KIR,0,0.18,0.18,0,0.02,0.02,0,0.000935016,0.000935
KNA,0,0.53,0.53,0,0.07,0.07,0,0.003272557,0.003273
LBR,0,101.75,101.75,0,27.83,27.83,0,1.301075269,1.301075
LCA,0,1.4,1.4,0,0.21,0.21,0,0.009817672,0.009818
LKA,0,218.16,218.16,0,52.38,52.38,0,2.448807854,2.448808
LVA,0.71,0,0.71,0.23,0,0.23,0.015395,0,0.015395
MAC,0,0.11,0.11,0,0.02,0.03,0,0.000935016,0.000935
MAF,0,0.15,0.15,0,0.02,0.02,0,0.000935016,0.000935
MAR,0,10.29,10.29,0,1.32,1.32,0,0.06171108,0.061711
MDG,58.1,2412.11,2470.21,13.91,557.04,570.95,0.931058,26.04207574,26.973133
