"Database","Source","Site_name","Site","Plot","Habitat_type","Habitat","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"Maxwell","Grey et al 2021","AG Bull Island 26","Bull Island","26","SaltMarsh",NA,2016,53.3733159996315,-6.15102042677576,0,0.1,4.5667,0.026,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 27","Bull Island","27","SaltMarsh",NA,2016,53.3696013955305,-6.15840104850244,0,0.1,4.27,0.102,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 29","Bull Island","29","SaltMarsh",NA,2016,53.3628929251111,-6.16886126170024,0,0.1,10.52,0.8167,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 30","Bull Island","30","SaltMarsh",NA,2016,53.3738975245223,-6.14862625104953,0,0.1,4.1717,0.3547,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 31","Bull Island","31","SaltMarsh",NA,2016,53.3777315683336,-6.13940118545693,0,0.1,4.98,0.4077,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 32","Bull Island","32","SaltMarsh",NA,2016,53.3676995435461,-6.15963133400866,0,0.1,1.8433,0.1533,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 33","Bull Island","33","SaltMarsh",NA,2016,53.3622614676752,-6.16969399336877,0,0.1,10.6,1.0963,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 34","Bull Island","34","SaltMarsh",NA,2016,53.3755003320366,-6.14904679828575,0,0.1,0.1533,0.12,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 35","Bull Island","35","SaltMarsh",NA,2016,53.3770031977369,-6.14011191269786,0,0.1,6.6693,0.7573,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 36","Bull Island","36","SaltMarsh",NA,2016,53.3675593842929,-6.16267267482653,0,0.1,9.31,1.013,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 37","Bull Island","37","SaltMarsh",NA,2016,53.3614090287672,-6.17202368443498,0,0.1,3.8867,1.308,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 38","Bull Island","38","SaltMarsh",NA,2016,53.3697228196272,-6.15689045844695,0,0.1,12.72,1.34,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 39","Bull Island","39","SaltMarsh",NA,2016,53.3764566416048,-6.14214997976437,0,0.1,0.5833,0.856,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 40","Bull Island","40","SaltMarsh",NA,2016,53.3668988152585,-6.16079961107548,0,0.1,15.9467,1.97,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 41","Bull Island","41","SaltMarsh",NA,2016,53.3805112344514,-6.12521997106042,0,0.1,4.17,0.29,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 42","Bull Island","42","SaltMarsh",NA,2016,53.3718468622725,-6.15629972470434,0,0.1,6.32,1.343,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Grey et al 2021","AG Bull Island 43","Bull Island","43","SaltMarsh",NA,2016,53.3752875795831,-6.14540668129088,0,0.1,5.37,0.659,NA,"https://doi.org/10.1016/j.rsma.2021.101834"
"Maxwell","Miller et al 2022","LCM Fleet C1","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.9502173,-4.08237605,0,0.05,22.287,2.053,0.499247365,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C1","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.9502173,-4.08237605,0.1,0.15,7.6,NA,1.237388413,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C1","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.9502173,-4.08237605,0.2,0.25,0.832,NA,2.524514395,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C10","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0,0.05,24.724,2.2,0.361233642,"https://doi.org/10.7489/12422-1"
