"Database","study_id","study_site_core","site_id","file_id","core_latitude","core_longitude","core_id","fraction_nitrogen","fraction_total_nitrogen","depth_min","depth_max","BD_reported_g_cm3","core_year","salinity_class","Habitat_type","fraction_carbon","fraction_carbon_measured","fraction_carbon_modeled","fraction_organic_carbon","OC_perc","N_perc","U_depth_m","L_depth_m","Latitude","Longitude"
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1","0.0219873537609443",NA,0,1,0.296378335025727,2019,"brackish","mangrove",NA,NA,NA,0.263980062374283,26.3980062374283,2.19873537609443,0,0.01,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1","0.021700764637412",NA,1,2,0.148682547836449,2019,"brackish","mangrove",NA,NA,NA,0.273230921216925,27.3230921216925,2.1700764637412,0.01,0.02,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1","0.0213272692280991",NA,2,3,0.160014379784592,2019,"brackish","mangrove",NA,NA,NA,0.253900043530702,25.3900043530702,2.13272692280991,0.02,0.03,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1","0.0192504840708476",NA,3,4,0.137605363797253,2019,"brackish","mangrove",NA,NA,NA,0.246498719632775,24.6498719632775,1.92504840708476,0.03,0.04,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,4,5,0.482016660648114,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.04,0.05,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1","0.0121621452040217",NA,5,6,0.694393016709939,2019,"brackish","mangrove",NA,NA,NA,0.168689547000342,16.8689547000342,1.21621452040217,0.05,0.06,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,6,7,0.462281447704719,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.06,0.07,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1","0.0100607154320895",NA,7,8,0.597244839446646,2019,"brackish","mangrove",NA,NA,NA,0.155148413021559,15.5148413021559,1.00607154320895,0.07,0.08,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,8,9,0.762384008398797,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.08,0.09,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1","0.0102057280056699",NA,9,10,0.576236386958516,2019,"brackish","mangrove",NA,NA,NA,0.147785635514022,14.7785635514022,1.02057280056699,0.09,0.1,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,10,11,0.731826259325153,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.1,0.11,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,11,12,0.799817251014011,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.11,0.12,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,12,13,0.642062871421324,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.12,0.13,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,13,14,0.712854990108599,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.13,0.14,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1","0.00950399787584821",NA,14,15,0.788867390929288,2019,"brackish","mangrove",NA,NA,NA,0.137436479801481,13.7436479801481,0.950399787584821,0.14,0.15,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,15,16,0.801345138467693,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.15,0.16,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,16,17,0.70674344029387,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.16,0.17,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,17,18,0.755126542993807,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.17,0.18,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,18,19,0.842088803899218,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.18,0.19,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1","0.0100835566410325",NA,19,20,0.68357048057969,2019,"brackish","mangrove",NA,NA,NA,0.144799792992946,14.4799792992946,1.00835566410325,0.19,0.2,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,20,22,0.851717677956278,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.2,0.22,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,22,24,0.663087239403764,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.22,0.24,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,24,26,0.599297938212532,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.24,0.26,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,26,28,0.818422463861453,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.26,0.28,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1","0.00992664341640301",NA,28,30,0.838156403565304,2019,"brackish","mangrove",NA,NA,NA,0.154490143071978,15.4490143071978,0.992664341640301,0.28,0.3,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,30,32,0.644879913914051,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.3,0.32,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,32,34,0.867951482151651,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.32,0.34,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,34,36,0.734961611704063,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.34,0.36,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,36,38,0.873299088239539,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.36,0.38,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1","0.0120151051074884",NA,38,40,0.558869399568329,2019,"brackish","mangrove",NA,NA,NA,0.183266718438846,18.3266718438846,1.20151051074884,0.38,0.4,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,40,42,0.711152032217516,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.4,0.42,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,42,44,0.68632386109518,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.42,0.44,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,44,46,0.539710327518926,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.44,0.46,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,46,48,0.482732857892028,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.46,0.48,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1","0.0147389956652562",NA,48,50,0.324305571199949,2019,"brackish","mangrove",NA,NA,NA,0.239977018573751,23.9977018573751,1.47389956652562,0.48,0.5,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,50,52,0.509216240422519,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.5,0.52,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,52,54,0.400545245279373,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.52,0.54,38.049846,-121.765356
"CCN","Arias-Ortiz_et_al_2021","Arias-Ortiz_et_al_2021_US-MyB_Typha M1","US-MyB","1",38.049846,-121.765356,"Typha M1",NA,NA,54,56,0.4561858133843,2019,"brackish","mangrove",NA,NA,NA,NA,NA,NA,0.54,0.56,38.049846,-121.765356
