"Database","Source","study_id","study_site_core","site_id","Site","Plot","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_1","Chapala",NA,NA,"1","Salt marsh",2018,"30.513344","-115.982706",0,0.15,10.26,0.92,0.29,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_1","Chapala",NA,NA,"1","Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,6.27,0.52,0.49,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_1","Chapala",NA,NA,"1","Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,2.75,0.27,0.82,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_1","Chapala",NA,NA,"1","Salt marsh",2018,"30.513344","-115.982706",0.5,1,2.56,0.24,0.87,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_2","Chapala",NA,NA,"2","Salt marsh",2018,"30.513344","-115.982706",0,0.15,8.69,0.78,0.35,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_2","Chapala",NA,NA,"2","Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,7.53,0.66,0.5,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_2","Chapala",NA,NA,"2","Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,2.82,0.3,0.82,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_2","Chapala",NA,NA,"2","Salt marsh",2018,"30.513344","-115.982706",0.5,1,2.25,0.22,1.02,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_3","Chapala",NA,NA,"3","Salt marsh",2018,"30.513344","-115.982706",0,0.15,8.48,0.8,0.36,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_3","Chapala",NA,NA,"3","Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,6.22,0.56,0.42,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_3","Chapala",NA,NA,"3","Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,3.04,0.33,0.6,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_3","Chapala",NA,NA,"3","Salt marsh",2018,"30.513344","-115.982706",0.5,1,4.79,0.43,0.7,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_4","Chapala",NA,NA,"4","Salt marsh",2018,"30.513344","-115.982706",0,0.15,11.95,1.03,0.26,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_4","Chapala",NA,NA,"4","Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,9.38,0.81,0.25,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_4","Chapala",NA,NA,"4","Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,6.49,0.71,0.67,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_4","Chapala",NA,NA,"4","Salt marsh",2018,"30.513344","-115.982706",0.5,1,0.66,0.08,1.34,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_5","Chapala",NA,NA,"5","Salt marsh",2018,"30.513344","-115.982706",0,0.15,15.33,1.27,0.23,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_5","Chapala",NA,NA,"5","Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,4.84,0.55,0.53,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_5","Chapala",NA,NA,"5","Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,13.99,1.47,0.61,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_5","Chapala",NA,NA,"5","Salt marsh",2018,"30.513344","-115.982706",0.5,1,3.94,0.37,0.79,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_1","Kenton",NA,NA,"1","Salt marsh",2018,"30.465747","-115.980806",0,0.15,6.43,0.75,0.52,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_1","Kenton",NA,NA,"1","Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,3.09,0.37,0.64,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_1","Kenton",NA,NA,"1","Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,3.86,0.36,0.96,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_1","Kenton",NA,NA,"1","Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.47,0.06,1.27,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_2","Kenton",NA,NA,"2","Salt marsh",2018,"30.465747","-115.980806",0,0.15,3.82,0.5,0.52,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_2","Kenton",NA,NA,"2","Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,2.41,0.3,0.88,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_2","Kenton",NA,NA,"2","Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,2.48,0.3,1.12,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_2","Kenton",NA,NA,"2","Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.7,0.09,1.32,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_3","Kenton",NA,NA,"3","Salt marsh",2018,"30.465747","-115.980806",0,0.15,6.96,0.75,0.35,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_3","Kenton",NA,NA,"3","Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,3.38,0.39,0.57,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_3","Kenton",NA,NA,"3","Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,2.51,0.27,1.02,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_3","Kenton",NA,NA,"3","Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.58,0.08,1.53,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_4","Kenton",NA,NA,"4","Salt marsh",2018,"30.465747","-115.980806",0,0.15,3.92,0.48,0.5,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_4","Kenton",NA,NA,"4","Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,3.02,0.37,0.7,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_4","Kenton",NA,NA,"4","Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,0.84,0.1,1.29,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_4","Kenton",NA,NA,"4","Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.15,0.02,1.94,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_5","Kenton",NA,NA,"5","Salt marsh",2018,"30.465747","-115.980806",0,0.15,3.56,0.42,0.79,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_5","Kenton",NA,NA,"5","Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,2.24,0.27,0.87,NA
