new_study_id,new_site_id,new_core_id,new_core_year,new_core_month,new_core_day
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2019,10,23
