study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_cm,L_depth_cm,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Adame_unpublished,,Chapala,1,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,0,15,10.26,0.92,,0.29,
Adame_unpublished,,Chapala,1,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,15,30,6.27,0.52,,0.49,
Adame_unpublished,,Chapala,1,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,30,50,2.75,0.27,,0.82,
Adame_unpublished,,Chapala,1,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,50,100,2.56,0.24,,0.87,
Adame_unpublished,,Chapala,2,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,0,15,8.69,0.78,,0.35,
Adame_unpublished,,Chapala,2,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,15,30,7.53,0.66,,0.5,
Adame_unpublished,,Chapala,2,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,30,50,2.82,0.3,,0.82,
Adame_unpublished,,Chapala,2,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,50,100,2.25,0.22,,1.02,
Adame_unpublished,,Chapala,3,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,0,15,8.48,0.8,,0.36,
Adame_unpublished,,Chapala,3,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,15,30,6.22,0.56,,0.42,
Adame_unpublished,,Chapala,3,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,30,50,3.04,0.33,,0.6,
Adame_unpublished,,Chapala,3,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,50,100,4.79,0.43,,0.7,
Adame_unpublished,,Chapala,4,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,0,15,11.95,1.03,,0.26,
Adame_unpublished,,Chapala,4,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,15,30,9.38,0.81,,0.25,
Adame_unpublished,,Chapala,4,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,30,50,6.49,0.71,,0.67,
Adame_unpublished,,Chapala,4,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,50,100,0.66,0.08,,1.34,
Adame_unpublished,,Chapala,5,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,0,15,15.33,1.27,,0.23,
Adame_unpublished,,Chapala,5,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,15,30,4.84,0.55,,0.53,
Adame_unpublished,,Chapala,5,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,30,50,13.99,1.47,,0.61,
Adame_unpublished,,Chapala,5,Baja California North,Salt marsh,marsh,2018,30.513344,-115.982706,50,100,3.94,0.37,,0.79,
Adame_unpublished,,Kenton,1,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,0,15,6.43,0.75,,0.52,
Adame_unpublished,,Kenton,1,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,15,30,3.09,0.37,,0.64,
Adame_unpublished,,Kenton,1,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,30,50,3.86,0.36,,0.96,
Adame_unpublished,,Kenton,1,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,50,100,0.47,0.06,,1.27,
Adame_unpublished,,Kenton,2,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,0,15,3.82,0.5,,0.52,
Adame_unpublished,,Kenton,2,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,15,30,2.41,0.3,,0.88,
Adame_unpublished,,Kenton,2,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,30,50,2.48,0.3,,1.12,
Adame_unpublished,,Kenton,2,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,50,100,0.7,0.09,,1.32,
Adame_unpublished,,Kenton,3,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,0,15,6.96,0.75,,0.35,
Adame_unpublished,,Kenton,3,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,15,30,3.38,0.39,,0.57,
Adame_unpublished,,Kenton,3,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,30,50,2.51,0.27,,1.02,
Adame_unpublished,,Kenton,3,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,50,100,0.58,0.08,,1.53,
Adame_unpublished,,Kenton,4,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,0,15,3.92,0.48,,0.5,
Adame_unpublished,,Kenton,4,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,15,30,3.02,0.37,,0.7,
Adame_unpublished,,Kenton,4,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,30,50,0.84,0.1,,1.29,
Adame_unpublished,,Kenton,4,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,50,100,0.15,0.02,,1.94,
Adame_unpublished,,Kenton,5,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,0,15,3.56,0.42,,0.79,
Adame_unpublished,,Kenton,5,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,15,30,2.24,0.27,,0.87,
Adame_unpublished,,Kenton,5,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,30,50,2.13,0.24,,1.12,
Adame_unpublished,,Kenton,5,Baja California North,Salt marsh,marsh,2018,30.465747,-115.980806,50,100,0.22,0.03,,2.32,
Adame_unpublished,,Arco,1,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,0,15,15.56,1.6,,0.52,
Adame_unpublished,,Arco,1,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,15,30,10.9,1.2,,0.64,
Adame_unpublished,,Arco,1,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,30,50,8.34,1.09,,0.96,
Adame_unpublished,,Arco,1,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,50,100,2.6,0.3,,1.27,
Adame_unpublished,,Arco,2,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,0,15,14.5,1.34,,0.52,
Adame_unpublished,,Arco,2,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,15,30,4.67,0.54,,0.88,
Adame_unpublished,,Arco,2,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,30,50,11.2,1.43,,1.12,
Adame_unpublished,,Arco,2,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,50,100,7.48,0.85,,1.32,
Adame_unpublished,,Arco,3,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,0,15,6.55,0.63,,0.35,
Adame_unpublished,,Arco,3,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,15,30,3.67,0.42,,0.57,
Adame_unpublished,,Arco,3,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,30,50,2.37,0.32,,1.02,
Adame_unpublished,,Arco,3,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,50,100,1.12,0.12,,1.53,
Adame_unpublished,,Arco,4,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,0,15,3.24,0.34,,0.5,
Adame_unpublished,,Arco,4,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,15,30,2.6,0.3,,0.7,
Adame_unpublished,,Arco,4,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,30,50,1.25,0.17,,1.29,
Adame_unpublished,,Arco,4,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,50,100,0.82,0.1,,1.94,
Adame_unpublished,,Arco,5,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,0,15,4.01,0.37,,0.79,
Adame_unpublished,,Arco,5,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,15,30,1.68,0.2,,0.87,
Adame_unpublished,,Arco,5,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,30,50,1.12,0.14,,1.12,
Adame_unpublished,,Arco,5,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,50,100,1.34,0.16,,2.32,
