study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T10001,"Transect 1, Position 1",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.78475,138.5200833,0,0.1,2.059337035,0.176903318,NA,0.959306419,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T10002,"Transect 1, Position 2",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.78475,138.5200833,0,0.1,7.660565668,0.563711402,NA,0.561419062,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T10003,"Transect 1, Position 3",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.78475,138.5200833,0,0.1,8.031453245,0.601514106,NA,0.411614472,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T10004,"Transect 1, Position 4",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.78475,138.5200833,0,0.1,6.818496374,0.548177118,NA,0.576737725,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T10005,"Transect 1, Position 5",Mangrove,A marina,2016,34.78475,138.5200833,0,0.1,2.077922084,0.169733915,NA,0.823228943,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T10006,"Transect 1, Position 6",Mangrove,A marina,2016,34.78475,138.5200833,0,0.1,7.812557685,0.679289026,NA,0.334026437,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T10007,"Transect 1, Position 7",Mangrove,A marina,2016,34.78475,138.5200833,0,0.1,6.664214409,0.548563723,NA,0.365459538,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T10008,"Transect 1, Position 8",Mangrove,A marina,2016,34.78475,138.5200833,0,0.1,4.111067674,0.319984093,NA,0.684366255,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T20001,"Transect 2, Position 1",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.78488889,138.5201667,0,0.1,8.596243975,0.692862962,NA,0.478260604,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T20002,"Transect 2, Position 2",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.78488889,138.5201667,0,0.1,8.833608149,0.747314256,NA,0.358297566,GPS was taken from the centre core of each transect
