sample_id,IDnumber,Core,Site,Veg,Treatment,Depth,15N,N_perc,,upperdepthcm,lowerdepthcm,sample_id,BD,carbonfrac
NM1GW_5,1,NM1GW,NM,G,W,5,3.8938712,0.659428053,,4,5,NM1GW_5,0.850597922,0.077
NM1GW_15,3,NM1GW,NM,G,W,15,4.2437688,0.651772669,,14,15,NM1GW_15,0.860734976,0.074
NM1GW_30,6,NM1GW,NM,G,W,30,3.2789624,0.437976036,,29,30,NM1GW_30,0.923414621,0.051
NM2GW_5,7,NM2GW,NM,G,W,5,2.369442,0.851246986,,4,5,NM2GW_5,0.792459269,0.103
NM2GW_15,9,NM2GW,NM,G,W,15,2.6171655,0.317387839,,14,15,NM2GW_15,0.648240203,0.047
NM2GW_30,12,NW2GW,NM,G,W,30,1.6241985,0.487151197,,29,30,NM2GW_30,1.00832054,0.07
NM3GW_5,13,NM3GW,NM,G,W,5,3.4549464,0.633108066,,4,5,NM3GW_5,0.697115756,0.092
NM3GW_15,15,NM3GW,NM,G,W,15,2.9176776,0.495628225,,14,15,NM3GW_15,0.634705644,0.064
NM3GW_30,18,NM3GW,NM,G,W,30,2.4476968,0.308770487,,29,30,NM3GW_30,0.90984809,0.04
NM4GW_5,19,NM4GW,NM,G,W,5,2.0988344,0.56576129,,4,5,NM4GW_5,0.77037017,0.06
NM4GW_15,21,NM4GW,NM,G,W,15,2.055356,0.277998391,,14,15,NM4GW_15,0.679939726,0.043
NM4GW_30,24,NM4GW,NM,G,W,30,1.7789576,0.317149596,,29,30,NM4GW_30,0.709095204,0.053
NM5GW_5,,,NM,G,W,5,,,,4,5,NM5GW_5,NA,NA
NM5GW_15,,,NM,G,W,15,,,,14,15,NM5GW_15,NA,NA
NM5GW_30,30,NM5GW,NM,G,W,30,1.9715048,0.444144812,,29,30,NM5GW_30,0.470513572,0.062
NM6GW_5,31,NM6GW,NM,G,W,5,2.9891064,0.528010238,,4,5,NM6GW_5,0.671218456,0.062
NM6GW_15,33,NM6GW,NM,G,W,15,3.4414888,0.700481999,,14,15,NM6GW_15,0.67152477,0.088
NM6GW_30,36,NM6GW,NM,G,W,30,-0.0284675,0.222583378,,29,30,NM6GW_30,0.679780861,0.034
NM1GC_5,37,NM1GC,NM,G,C,5,3.6047725,0.537139453,,4,5,NM1GC_5,0.639368216,0.06
NM1GC_15,39,NM1GC,NM,G,C,15,2.950255,0.469956476,,14,15,NM1GC_15,0.63017627,0.056
NM1GC_30,42,NM1GC,NM,G,C,30,2.6689905,0.58269808,,29,30,NM1GC_30,0.825222934,0.093
NM2GC_5,43,NM2GC,NM,G,C,5,2.342493,0.484945713,,4,5,NM2GC_5,1.091372208,0.06
NM2GC_15,45,NM2GC,NM,G,C,15,1.8667395,0.603678593,,14,15,NM2GC_15,1.130796408,0.074
NM2GC_30,,,NM,G,C,,,,,29,30,NM2GC_30,NA,NA
NM3GC_5,49,NM3GC_OL.10,NM,G,C,5,2.2799944,0.376258004,,4,5,NM3GC_5,0.778937232,0.058
NM3GC_15,51,NM3GC_OL.10,NM,G,C,15,1.3524552,0.225474701,,14,15,NM3GC_15,0.468451762,0.031
NM3GC_30,,,NM,G,C,,,,,29,30,NM3GC_30,NA,NA
NM4GC_5,55,NM4GC,NM,G,C,5,1.211668,0.217899523,,4,5,NM4GC_5,0.787920174,0.034
NM4GC_15,57,NM4GC,NM,G,C,,-0.656868,0.07401703,,14,15,NM4GC_15,0.432639804,NA
NM4GC_30,66,,NM,G,C,,-1.1516936,0.111010964,,29,30,NM4GC_30,NA,NA
NM5GC_5,66,NM5GC,NM,G,C,,3.3203704,1.015405498,,4,5,NM5GC_5,0.681163508,NA
NM5GC_15,,,NM,G,C,,,,,14,15,NM5GC_15,0.758495129,NA
NM5GC_30,,,NM,G,C,,,,,29,30,NM5GC_30,1.253389562,0.016
NM6GC_5,67,NM6GC,NM,G,C,5,1.7841336,0.24323803,,4,5,NM6GC_5,0.678067074,0.033
NM6GC_15,69,NM6GC,NM,G,C,15,0.6702584,0.137546911,,14,15,NM6GC_15,0.554594744,0.02
NM6GC_30,72,NM6GC,NM,G,C,30,2.0056664,0.28201302,,29,30,NM6GC_30,0.727737885,0.033
NM1MW_5,73,NM1MW_O_Lay 23,NM,M,W,5,3.316803,0.572121721,,4,5,NM1MW_5,0.692307745,0.06
NM1MW_15,75,NM1MW,NM,M,W,15,3.6578115,0.735592078,,14,15,NM1MW_15,0.730025477,0.078
NM1MW_30,78,NM1MW,NM,M,W,30,1.6681912,0.261807545,,29,30,NM1MW_30,0.558979815,0.034
NM2MW_5,79,NM2MW,NM,M,W,5,0.315099,0.180460018,,4,5,NM2MW_5,0.605171409,0.03
NM2MW_15,81,NM2MW,NM,M,W,15,2.3932815,1.126309685,,14,15,NM2MW_15,0.821456959,0.12
NM2MW_30,84,NM2MW,NM,M,W,30,-0.8100776,0.09055344,,29,30,NM2MW_30,0.585844306,NA
NM3MW_5,85,NM3MW_O.13cm,NM,M,W,5,3.078408,0.914349475,,4,5,NM3MW_5,0.63403647,0.095
NM3MW_15,87,NM3MW_O_13cm,NM,M,W,15,3.02451,0.503648004,,14,15,NM3MW_15,0.561324507,0.066
NM3MW_30,90,NM3MW,NM,M,W,30,2.169228,0.295613374,,29,30,NM3MW_30,0.680583442,0.044
NM4MW_5,91,NM4MW,NM,M,W,5,2.099952,0.361676491,,4,5,NM4MW_5,0.543176252,0.043
NM4MW_15,93,NM4MW,NM,M,W,15,1.861557,0.337836699,,14,15,NM4MW_15,0.635805526,0.052
NM4MW_30,,,NM,M,W,,,,,29,30,NM4MW_30,0.567872448,NA
NM5MW_5,97,NM5MW,NM,M,W,5,2.2958505,0.653931721,,4,5,NM5MW_5,0.770931697,0.093
NM5MW_15,99,NM5MW,NM,M,W,15,1.768272,0.299066514,,14,15,NM5MW_15,0.622264289,0.055
NM5MW_30,102,NM5MW,NM,M,W,30,1.328796,0.469277684,,29,30,NM5MW_30,0.709311666,0.062
NM6MW_5,103,NM6MW,NM,M,W,5,3.4777208,0.534052677,,4,5,NM6MW_5,0.75849596,0.083
NM6MW_15,105,NM6MW,NM,M,W,15,3.08538,0.802327973,,14,15,NM6MW_15,0.815534856,0.084
NM6MW_30,108,NM6MW,NM,M,W,30,2.06866,0.360615458,,29,30,NM6MW_30,0.806864337,0.059
NM1MC_5,,,NM,M,C,,,,,4,5,NM1MC_5,NA,NA
NM1MC_15,,,NM,M,C,,,,,14,15,NM1MC_15,NA,NA
NM1MC_30,114,NM1MC ,NM,M,C,30,1.1329928,0.458108085,,29,30,NM1MC_30,0.724079807,0.063
NM2MC_5,115,NM2MC_OL.15,NM,M,C,5,2.33486,0.324492167,,4,5,NM2MC_5,0.631892487,0.052
NM2MC_15,117,NM2MC_OL.15,NM,M,C,15,2.6702648,1.058386154,,14,15,NM2MC_15,0.809214849,0.113
NM2MC_30,120,NM2MC,NM,M,C,30,2.69718,0.65178602,,29,30,NM2MC_30,0.993519893,0.091
NM3MC_5,121,NM3MC_OL.20,NM,M,C,5,2.396972,0.348314188,,4,5,NM3MC_5,0.661294956,0.042
NM3MC_15,123,NM3MC_OL.20,NM,M,C,15,2.6174696,0.72758453,,14,15,NM3MC_15,0.775383433,0.075
NM3MC_30,126,NM3MC ,NM,M,C,30,2.3483176,0.3088182,,29,30,NM3MC_30,0.726495563,0.041
NM4MC_5,127,NM4MC,NM,M,C,5,1.115277,0.459703982,,4,5,NM4MC_5,0.788758379,0.058
NM4MC_15,129,NM4MC,NM,M,C,15,1.5848115,0.461137397,,14,15,NM4MC_15,0.806431433,0.069
NM4MC_30,132,NM4MC,NM,M,C,30,-0.0336776,0.074844301,,29,30,NM4MC_30,0.536174427,NA
NM5MC_5,133,NM5MC,NM,M,C,5,2.3793736,0.588670885,,4,5,NM5MC_5,0.697847555,0.092
NM5MC_15,135,NM5MC,NM,M,C,15,2.9673672,0.859479661,,14,15,NM5MC_15,0.706874444,0.096
NM5MC_30,138,NM5MC,NM,M,C,30,1.4973832,0.347982364,,29,30,NM5MC_30,0.8300106,0.05
NM6MC_5,139,NM6MC_OL.10,NM,M,C,5,2.9311352,0.745091753,,4,5,NM6MC_5,0.74614209,0.083
NM6MC_15,141,NM6MC_OL.10,NM,M,C,15,3.21478,0.839851279,,14,15,NM6MC_15,0.751788422,0.089
NM6MC_30,144,NM6MC,NM,M,C,30,1.2415225,0.261489861,,29,30,NM6MC_30,0.601724628,0.039
GC1GW_5,145,GC1GW_OL.15,GC,G,W,5,3.551052,0.528409203,,4,5,GC1GW_5,0.719240783,0.076
GC1GW_15,147,GC1GW_OL.15,GC,G,W,15,3.559344,0.49528759,,14,15,GC1GW_15,0.716693645,0.082
GC1GW_30,150,GC1GW,GC,G,W,30,-0.403244,0.108122973,,29,30,GC1GW_30,0.527750699,0.017
GC2GW_5,151,GC2GW ,GC,G,W,5,4.3648872,0.321181826,,4,5,GC2GW_5,0.675099434,0.036
GC2GW_15,153,GC2GW,GC,G,W,15,3.4652984,0.180882169,,14,15,GC2GW_15,0.563322106,0.02
GC2GW_30,156,GC2GW,GC,G,W,30,3.194496,0.188309554,,29,30,GC2GW_30,0.639080371,0.021
GC3GW_5,157,GC3GW_OL.15,GC,G,W,5,2.842086,0.399677741,,4,5,GC3GW_5,0.660487793,0.067
GC3GW_15,159,GC3GW_OL.15,GC,G,W,15,3.451548,0.575673726,,14,15,GC3GW_15,0.66337427,0.07
GC3GW_30,162,GC3GW ,GC,G,W,30,2.0004904,0.308085011,,29,30,GC3GW_30,0.828992126,0.048
GC4GW_5,163,GC4GW,GC,G,W,5,3.3054015,0.765295311,,4,5,GC4GW_5,0.799755503,0.101
GC4GW_15,165,GC4GW,GC,G,W,15,2.4782745,0.434751862,,14,15,GC4GW_15,0.707696419,0.057
GC4GW_30,168,GC4GW,GC,G,W,30,-2.8183656,0.052893551,,29,30,GC4GW_30,0.369284719,NA
GC5GW_5,169,GC5GW_O.20,GC,G,W,5,4.629012,0.322074021,,4,5,GC5GW_5,0.633145462,0.034
GC5GW_15,171,GC5GW_O.20,GC,G,W,15,3.7054905,0.221726394,,14,15,GC5GW_15,0.610533124,0.026
GC5GW_30,174,GC5GW   ,GC,G,W,30,2.3214024,0.17102357,,29,30,GC5GW_30,0.614655808,0.02
GC6GW_5,175,GC6GW_O.15cm,GC,G,W,5,2.929152,0.562845971,,4,5,GC6GW_5,0.722546954,0.081
GC6GW_15,177,GC6GW_O.15cm,GC,G,W,15,2.0159955,0.500338759,,14,15,GC6GW_15,0.71602697,0.084
GC6GW_30,180,GC6GW ,GC,G,W,30,0.1164264,0.216533647,,29,30,GC6GW_30,0.720004819,0.041
GC1GC_5,181,GC1GC OLayer13,GC,G,C,5,4.1350728,0.581508461,,4,5,GC1GC_5,0.788765095,0.085
GC1GC_15,183,GC1GC OLayer13,GC,G,C,15,2.6754408,0.321942368,,14,15,GC1GC_15,0.701187736,0.047
GC1GC_30,186,GC1GC,GC,G,C,30,3.0739928,0.207200106,,29,30,GC1GC_30,0.690513994,0.031
GC2GC_5,187,GC2GC_OL.20,GC,G,C,5,3.9269976,0.401847483,,4,5,GC2GC_5,0.670224091,0.042
GC2GC_15,189,GC2GC_OL.20,GC,G,C,15,3.9207864,0.348535932,,14,15,GC2GC_15,0.714473649,0.047
GC2GC_30,192,GC2GC ,GC,G,C,30,-1.780355,0.115665994,,29,30,GC2GC_30,0.459722348,0.019
GC3GC_5,,,GC,G,C,,,,,4,5,GC3GC_5,NA,NA
GC3GC_15,,,GC,G,C,,,,,14,15,GC3GC_15,NA,NA
GC3GC_30,198,GC3GC,GC,G,C,30,0.9539032,0.110454912,,29,30,GC3GC_30,0.572049459,0.017
GC4GC_5,199,GC4GC,GC,G,C,5,2.3855848,0.671266497,,4,5,GC4GC_5,0.781924158,0.111
GC4GC_15,201,GC4GC,GC,G,C,15,2.5532872,0.799252661,,14,15,GC4GC_15,0.737915611,0.112
GC4GC_30,204,GC4GC,GC,G,C,30,1.0242968,0.270041024,,20,30,GC4GC_30,NA,0.044
GC5GC_5,205,GC5GC,GC,G,C,5,4.0226595,0.271302655,,4,5,GC5GC_5,0.714580876,0.026
GC5GC_15,207,GC5GC,GC,G,C,15,-1.7278425,0.05097443,,14,15,GC5GC_15,0.328625416,0.006
GC5GC_30,210,GC5GC,GC,G,C,30,2.5708856,0.141438204,,29,30,GC5GC_30,0.612727916,0.016
GC6GC_5,211,GC6GC_OL.10,GC,G,C,5,2.4425208,0.51034042,,4,5,GC6GC_5,0.69952634,0.086
GC6GC_15,213,GC6GC_OL.10,GC,G,C,15,2.98186,0.671885216,,14,15,GC6GC_15,0.553834402,0.1
GC6GC_30,216,GC6GC,GC,G,C,30,1.8421048,0.488302402,,29,30,GC6GC_30,0.822933716,0.089
GC1MW_5,217,GC1MW,GC,M,W,5,1.3277595,0.189773701,,4,5,GC1MW_5,0.83115978,0.032
GC1MW_15,219,GC1MW,GC,M,W,15,0.418749,0.141688149,,14,15,GC1MW_15,0.60005095,0.023
GC1MW_30,222,GC1MW,GC,M,W,30,3.1247176,0.390908652,,29,30,GC1MW_30,0.785632976,0.059
GC2MW_5,223,GC2MW,GC,M,W,5,4.570968,0.358167608,,4,5,GC2MW_5,0.66987583,0.041
GC2MW_15,225,GC2MW,GC,M,W,15,3.718965,0.455028502,,14,15,GC2MW_15,0.780172772,0.072
GC2MW_30,228,GC2MW,GC,M,W,30,1.2955192,0.222073929,,29,30,GC2MW_30,0.752512826,0.033
GC3MW_5,229,GC3MW,GC,M,W,5,3.654702,0.524019323,,4,5,GC3MW_5,0.731928652,0.061
GC3MW_15,231,GC3MW,GC,M,W,15,2.5674135,0.31306314,,14,15,GC3MW_15,0.645594073,0.04
GC3MW_30,234,GC3MW,GC,M,W,30,0.269636,0.17027072,,29,30,GC3MW_30,0.686938451,0.033
GC4MW_5,235,GC4MW_O.15cm,GC,M,W,5,1.8916155,0.533533435,,4,5,GC4MW_5,0.584741417,0.084
GC4MW_15,237,GC4MW,GC,M,W,15,2.338347,0.61387906,,14,15,GC4MW_15,0.577066152,0.081
