study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes,U_depth_cm,L_depth_cm,OC mass,N mass
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0,0.05,4.44912,0.29813,,0.708940377,mangrove (A. marina) roots within some strata of core,0,5.25,3.154160812,0.211356395
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.05,0.11,1.22347,0.08407,,1.576102122,mangrove (A. marina) roots within some strata of core,5.25,10.5,1.928313664,0.132502905
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.11,0.16,0.69573,0.05771,,1.551825668,mangrove (A. marina) roots within some strata of core,10.5,15.75,1.079651672,0.089555859
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.16,0.21,0.61306,0.04409,,1.454040788,mangrove (A. marina) roots within some strata of core,15.75,21,0.891414246,0.064108658
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.21,0.26,1.34253,0.05495,,1.174437148,mangrove (A. marina) roots within some strata of core,21,26.25,1.576717104,0.064535321
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.26,0.32,1.43752,0.0533,,1.142045907,mangrove (A. marina) roots within some strata of core,26.25,31.5,1.641713832,0.060871047
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.32,0.37,2.02038,0.07041,,1.125544708,mangrove (A. marina) roots within some strata of core,31.5,36.75,2.274028018,0.079249603
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.37,0.42,1.79587,0.06281,,1.201939145,mangrove (A. marina) roots within some strata of core,36.75,42,2.158526453,0.075493798
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.42,0.47,2.01497,0.07243,,1.19990196,mangrove (A. marina) roots within some strata of core,42,47.25,2.417766453,0.086908899
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.47,0.53,2.19055,0.08804,,1.284241419,mangrove (A. marina) roots within some strata of core,47.25,52.5,2.813195041,0.113064615
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.53,0.63,1.22366,0.05431,,1.373062685,mangrove (A. marina) roots within some strata of core,52.5,63,1.680161885,0.074571034
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.63,0.74,0.97473,0.04325,,1.512609857,mangrove (A. marina) roots within some strata of core,63,73.5,1.474386206,0.065420376
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.74,0.84,0.38994,0.01959,,1.74016342,mangrove (A. marina) roots within some strata of core,73.5,84,0.678559324,0.034089801
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.84,0.95,0.55564,0.02174,,1.574947718,mangrove (A. marina) roots within some strata of core,84,94.5,0.87510395,0.034239363
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-M,S3,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.66858,152.1445,0.95,1.05,0.48553,0.01975,,1.892137421,mangrove (A. marina) roots within some strata of core,94.5,105,0.918689482,0.037369714
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0,0.06,5.84286,0.43961,,0.509296248,mangrove (A. marina) roots within some strata of core,0,6.1,2.975746676,0.223891724
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.06,0.12,3.82993,0.30271,,0.566337428,mangrove (A. marina) roots within some strata of core,6.1,12.2,2.169032705,0.171436003
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.12,0.18,3.5111,0.27175,,0.508277656,mangrove (A. marina) roots within some strata of core,12.2,18.3,1.784613677,0.138124453
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.18,0.24,2.83912,0.18669,,0.662085123,mangrove (A. marina) roots within some strata of core,18.3,24.4,1.879739113,0.123604672
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.24,0.31,1.45869,0.10736,,0.717598414,mangrove (A. marina) roots within some strata of core,24.4,30.5,1.04675363,0.077041366
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.31,0.37,1.7465,0.14256,,0.759055128,mangrove (A. marina) roots within some strata of core,30.5,36.6,1.325689781,0.108210899
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.37,0.43,1.18987,0.09488,,0.987525425,mangrove (A. marina) roots within some strata of core,36.6,42.7,1.175026877,0.093696412
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.43,0.49,1.04481,0.08335,,1.061780818,mangrove (A. marina) roots within some strata of core,42.7,48.8,1.109359216,0.088499431
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.49,0.55,1.02024,0.07741,,0.935067911,mangrove (A. marina) roots within some strata of core,48.8,54.9,0.953993686,0.072383607
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.55,0.61,2.40172,0.14231,,0.66249256,mangrove (A. marina) roots within some strata of core,54.9,61,1.59112163,0.094279316
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.61,0.73,5.57363,0.25285,,0.545060162,mangrove (A. marina) roots within some strata of core,61,73.2,3.037963673,0.137818462
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.73,0.85,3.25909,0.16736,,0.646806235,mangrove (A. marina) roots within some strata of core,73.2,85.4,2.107999733,0.108249491
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.85,0.98,3.71526,0.15717,,0.545558141,mangrove (A. marina) roots within some strata of core,85.4,97.6,2.026890339,0.085745373
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,POR-F,S4,Sporobolus virginicus marsh,Salt marsh,marsh,2014,-32.64338,151.98847,0.98,1.1,3.34068,0.1861,,0.788390592,mangrove (A. marina) roots within some strata of core,97.6,109.8,2.633760683,0.146719489
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0,0.05,2.1654,0.14538,,0.89771952,mangrove (A. marina) roots within some strata of core,0,5.3,1.943921848,0.130510464
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.05,0.11,2.16406,0.14131,,0.882780163,mangrove (A. marina) roots within some strata of core,5.3,10.6,1.91038924,0.124745665
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.11,0.16,0.53886,0.05188,,1.270184843,mangrove (A. marina) roots within some strata of core,10.6,15.9,0.684451804,0.06589719
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.16,0.21,0.48584,0.04831,,1.286482323,mangrove (A. marina) roots within some strata of core,15.9,21.2,0.625024572,0.062149961
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.21,0.27,0.44918,0.04138,,1.311437839,mangrove (A. marina) roots within some strata of core,21.2,26.5,0.589071648,0.054267298
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.27,0.32,0.18668,0.0161,,1.545815972,mangrove (A. marina) roots within some strata of core,26.5,31.8,0.288572926,0.024887637
