LON,LAT,REGION,ENVSETT,SITE,CORE,DEPTH,subsmple_up_depth_cm,subsmple_lw_depth_cm,core_up_depth_cm,core_lw_depth_cm,core_depth_interval_cm,N_pcent,C_pcent,BD_gcc,,,,,
-48.522762,-27.452245,S25,ET,SC1,1,1,5,10,0,15,15,0.147,1.247,0.753,,,,,
-48.522762,-27.452245,S25,ET,SC1,1,2,20,25,15,30,15,0.191,2.826,0.563,,,,,
-48.522762,-27.452245,S25,ET,SC1,1,3,37.5,42.5,30,50,20,0.028,0.100,1.371,,,,,
-48.522762,-27.452245,S25,ET,SC1,1,4,72.5,77.5,50,100,50,0.040,0.128,1.572,,,,,
-48.522762,-27.452245,S25,ET,SC1,2,1,5,10,0,15,15,0.377,4.271,0.437,,,,,
-48.522762,-27.452245,S25,ET,SC1,2,2,20,25,15,30,15,0.364,5.521,0.356,,,,,
-48.522762,-27.452245,S25,ET,SC1,2,3,37.5,42.5,30,50,20,0.145,0.883,0.931,,,,,
-48.522762,-27.452245,S25,ET,SC1,2,4,72.5,77.5,50,100,50,0.298,3.526,0.465,,,,,
-48.522762,-27.452245,S25,ET,SC1,3,1,5,10,0,15,15,0.353,5.677,0.476,,,,,
-48.522762,-27.452245,S25,ET,SC1,3,2,20,25,15,30,15,0.321,4.162,0.493,,,,,
-48.522762,-27.452245,S25,ET,SC1,3,3,37.5,42.5,30,50,20,0.094,0.652,1.157,,,,,
-48.522762,-27.452245,S25,ET,SC1,3,4,72.5,77.5,50,100,50,0.290,3.055,0.534,,,,,
-48.623635,-26.183504,S25,ET,SC2,1,1,5,10,0,15,15,0.339,5.738,0.462,,,,,
-48.623635,-26.183504,S25,ET,SC2,1,2,20,25,15,30,15,0.264,4.835,0.478,,,,,
-48.623635,-26.183504,S25,ET,SC2,1,3,37.5,42.5,30,50,20,0.277,4.364,0.504,,,,,
-48.623635,-26.183504,S25,ET,SC2,1,4,72.5,77.5,50,100,50,0.059,0.794,1.061,,,,,
-48.623635,-26.183504,S25,ET,SC2,2,1,5,10,0,15,15,0.074,1.124,0.925,,,,,
-48.623635,-26.183504,S25,ET,SC2,2,2,20,25,15,30,15,0.058,0.764,1.000,,,,,
-48.623635,-26.183504,S25,ET,SC2,2,3,37.5,42.5,30,50,20,0.126,2.326,0.672,,,,,
-48.623635,-26.183504,S25,ET,SC2,2,4,72.5,77.5,50,100,50,0.074,1.245,1.011,,,,,
-48.623635,-26.183504,S25,ET,SC2,3,1,5,10,0,15,15,0.106,2.137,0.809,,,,,
-48.623635,-26.183504,S25,ET,SC2,3,2,20,25,15,30,15,0.173,5.646,0.868,,,,,
