study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0,0.01,8,0.68,11.4,0.17,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.01,0.02,9.53,0.7,11.45,0.15,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.02,0.03,9.06,0.64,12.63,0.17,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.03,0.04,9.23,0.64,11.47,0.18,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.04,0.05,9.71,0.62,11.94,0.21,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.05,0.06,9.32,0.6,11.62,0.2,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.06,0.07,9.4,0.61,11.86,0.23,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.07,0.08,9.79,0.61,12.51,0.31,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.08,0.09,10.14,0.61,12.1,0.32,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.09,0.1,11.28,0.6,12.67,0.26,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.1,0.11,10.54,0.6,12.33,0.22,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.11,0.12,11.21,0.6,13.36,0.31,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.12,0.13,10.54,0.58,12.1,0.31,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.13,0.14,12.26,0.62,13.3,0.26,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.14,0.15,13.23,0.61,13.59,0.31,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.15,0.16,13.07,0.55,13.76,0.29,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.16,0.17,10.18,0.47,12.33,0.37,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.17,0.18,8.82,0.42,11.81,0.39,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.18,0.19,8.35,0.4,11.12,0.37,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.19,0.2,9.12,0.4,11.6,0.38,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.2,0.21,8.73,0.4,11.53,0.37,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.21,0.22,6.72,0.33,9.33,0.46,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.22,0.23,7.81,0.35,11.65,0.3,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.23,0.24,6.75,0.32,10.17,0.44,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.24,0.25,8.82,0.38,11.66,0.27,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.25,0.26,11.78,0.41,15.67,0.26,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.26,0.27,6.83,0.34,10.62,0.31,
