study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0,0.01,4.35,0.63,NA,0.49,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.01,0.02,2.31,0.36,NA,0.99,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.02,0.03,1.55,0.23,NA,0.89,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.03,0.04,0.92,0.13,NA,1.28,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.04,0.05,0.68,0.09,NA,1.24,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.05,0.06,0.69,0.08,NA,2.07,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.06,0.07,0.66,0.08,NA,1.28,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.07,0.08,0.61,0.07,NA,1.39,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.08,0.09,0.57,0.07,NA,1.71,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.09,0.1,0.62,0.08,NA,1.4,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.1,0.11,0.61,0.08,NA,1.2,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.11,0.12,0.75,0.1,NA,1.62,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.12,0.13,0.6,0.08,NA,1.22,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.13,0.14,0.55,0.07,NA,1.38,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.14,0.15,0.56,0.07,NA,1.71,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.15,0.16,0.52,0.06,NA,1.52,
