study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_cm,L_depth_cm,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,8,7,27.93199784,1.518648472,NA,0.105222638,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,10,9,29.241778,1.425278459,NA,0.124359428,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,14,13,28.78055355,1.477129812,NA,0.125250696,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,6,5,30.02183362,1.56205916,NA,0.143381627,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,1,0,29.89836238,1.486773163,NA,0.144234698,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,12,11,31.56413248,1.520560081,NA,0.149556839,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,4,3,27.82954253,1.566211436,NA,0.152281572,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,2,1,29.10565531,1.385809573,NA,0.173582869,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,22,21,25.98525065,1.30383355,NA,0.17470332,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,46,45,24.1204987,0.882306674,NA,0.183055771,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,16,15,31.97613599,1.409495015,NA,0.183768786,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,36,35,24.88444613,1.081903626,NA,0.188619828,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,20,19,24.10890994,1.259557346,NA,0.192286758,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,18,17,26.89673244,1.292593761,NA,0.194463998,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,24,23,27.61975062,1.30111629,NA,0.197061406,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,34,33,23.33663895,1.091268243,NA,0.197303322,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,52,51,27.26141568,0.833051554,NA,0.201517745,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,32,31,24.85039883,1.14360391,NA,0.209259041,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,30,29,27.34308563,1.19528246,NA,0.209602816,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,28,27,24.1367004,1.164545231,NA,0.214008225,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,38,37,22.21716847,0.940940423,NA,0.214874028,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,26,25,28.98933739,1.309697836,NA,0.238428959,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,48,47,22.68382,0.944226375,NA,0.239294762,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,50,49,22.95909293,0.95516291,NA,0.240657128,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,56,55,17.39621519,0.474017583,NA,0.247761805,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,41,40,4.259078967,0.239743595,NA,0.253873355,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,40,39,18.67276104,0.915870616,NA,0.258902651,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,60,59,12.20326598,0.523350296,NA,0.297367218,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,54,53,19.29767751,0.640912464,NA,0.311130937,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,2,1,10.38272599,0.491464059,NA,0.325021981,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,44,43,18.70872487,0.677813901,NA,0.330560573,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,2,1,11.73968264,0.688923799,NA,0.332292178,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,31,30,3.647059383,0.264274166,NA,0.336162827,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,42,41,19.66010137,0.643379575,NA,0.339027616,
Jupin_et_al_unpublished,,EV,EVC02,,Mangrove,Mangrove,2021,23.438944,-106.573861,1,0,8.903763151,0.390334222,NA,0.339357385,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,57,56,4.118075293,0.300585899,NA,0.3555288,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,54,53,3.883068611,0.250395132,NA,0.358228068,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,62,61,13.97654831,0.433222105,NA,0.359845082,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,44,43,3.892354664,0.216829803,NA,0.38019145,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,39,38,3.484123909,0.231196447,NA,0.381630211,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,4,3,8.138502143,0.563083229,NA,0.386481253,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,71,70,2.625973886,0.180530882,NA,0.389218718,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,4,3,8.997812576,0.515730424,NA,0.395011958,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,64,63,4.020518779,0.206253118,NA,0.411640467,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,5,4,9.471685911,0.463301017,NA,0.415472918,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,49,48,3.059312079,0.258204764,NA,0.416198664,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,52,51,3.658245968,0.311244139,NA,0.42042582,
Jupin_et_al_unpublished,,CP,LTMCA02,,Mangrove,Mangrove,2021,18.640306,-91.272361,58,57,23.60785809,0.385979578,NA,0.422615792,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,19,18,3.951659786,0.261916911,NA,0.433680243,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,14,13,4.850914339,0.409711368,NA,0.433909427,
Jupin_et_al_unpublished,,CP,LTMCA01,,Mangrove,Mangrove,2021,18.619833,-91.267861,2,1,7.581631302,0.523898065,NA,0.435017145,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,46,45,3.318327538,0.230036542,NA,0.439982779,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,51,50,2.092519399,0.122028207,NA,0.440046441,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,61,60,3.716935325,0.219658045,NA,0.442261878,
