Source,Site_name,Site,Latitude,Longitude,Core_id,Year_collected,U_depth_m,L_depth_m,U_depth_cm,L_depth_cm,Soil moisture content (%),BD_reported_g_cm3,OC_perc,N_perc,Method,Soil loss-on-ignition (mg·g−1),Total soil organic carbon (mg·g−1),Total soil nitrogen (mg·g−1),Refractory soil organic carbon (mg·g−1),Refractory soil nitrogen (mg·g−1),Habitat_type,,,,,,
McClellan_et_al_2021,S06-1-00,S06,29.946667,93.400833,1,2016,0,0.05,0,5,67,0.2,2.49,0.249,EA,93,24.9,2.49,10.1,0.38,Marsh,,,,,,
McClellan_et_al_2021,S06-1-05,S06,29.946667,93.400833,1,2016,0.05,0.1,5,10,49,0.808,1.8,0.165,EA,73.9,18,1.65,7.9,0.31,Marsh,,,,,,
McClellan_et_al_2021,S06-1-10,S06,29.946667,93.400833,1,2016,0.1,0.15,10,15,39,0.926,1.43,0.13,EA,62.4,14.3,1.3,7.2,0.28,Marsh,,,,,,
McClellan_et_al_2021,S06-1-15,S06,29.946667,93.400833,1,2016,0.15,0.2,15,20,37,0.938,1.49,0.128,EA,58.7,14.9,1.28,7.2,0.28,Marsh,,,,,,
McClellan_et_al_2021,S06-1-20,S06,29.946667,93.400833,1,2016,0.2,0.25,20,25,39,0.948,1.32,0.123,EA,53.4,13.2,1.23,7.3,0.28,Marsh,,,,,,"1 year 29°56'48""N, 93°24'39""W 24 ± 3 cm 5–36 994 6 years 29°56'16""N, 93°24'3""W 10 ± 3 cm 22–63 2068 14 years 29°57'42""N, 93°24'47""W 10 ± 3 cm 22–63 1872 33 years 29°55'8""N, 93°20'48""W 32 ± 3 cm 2–23 1196 Reference A 29°55'37""N, 93°26'17""W 13 ± 1 cm 21–55 791 Reference B 29°56'39""N, 93°26'21""W 7 ± 2 cm 30–66 1457 WLD 16 years 29°30'4""N, 91°28'51""W 2 ± 5 cm 49–87 75 29 years 29°30'45""N, 91°27'56""W 53 ± 2 cm 1–4 335 41 years 29°31'56""N, 91°26'10""W 51 ± 6 cm 1–7 300 Reference 29°33'15""N, 91°25'42""W 50 ± 10 cm 1–4 —"
McClellan_et_al_2021,S06-1-25,S06,29.946667,93.400833,1,2016,0.25,0.3,25,30,41,0.843,1.29,0.122,EA,60.8,12.9,1.22,6.9,0.27,Marsh,,,,,,
McClellan_et_al_2021,S06-2-00,S06,29.946667,93.400833,2,2016,0,0.05,0,5,35,1.037,1.29,0.125,EA,40.8,12.9,1.25,4.9,0.19,Marsh,,,,,,
McClellan_et_al_2021,S06-2-05,S06,29.946667,93.400833,2,2016,0.05,0.1,5,10,34,1.111,1.1,0.103,EA,42.1,11,1.03,4.9,0.2,Marsh,,,,,,
McClellan_et_al_2021,S06-2-10,S06,29.946667,93.400833,2,2016,0.1,0.15,10,15,35,1.084,1.28,0.109,EA,44,12.8,1.09,6.2,0.27,Marsh,,,,,,
McClellan_et_al_2021,S06-2-15,S06,29.946667,93.400833,2,2016,0.15,0.2,15,20,33,1.166,0.97,0.092,EA,39.9,9.7,0.92,5.1,0.21,Marsh,,,,,,
McClellan_et_al_2021,S06-2-20,S06,29.946667,93.400833,2,2016,0.2,0.25,20,25,26,1.258,0.67,0.065,EA,27.1,6.7,0.65,2.5,0.1,Marsh,,,,,,
