"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"2","Asanopouos_et_al_2021","Site 1_Torrens Island ","T10002","Tidal marsh",2016,34.78475,138.5200833,0,0.1,7.660565668,0.563711402,0.561419062,"https://doi.org/10.1071/SR20040"
"3","Asanopouos_et_al_2021","Site 1_Torrens Island ","T10003","Tidal marsh",2016,34.78475,138.5200833,0,0.1,8.031453245,0.601514106,0.411614472,"https://doi.org/10.1071/SR20040"
"4","Asanopouos_et_al_2021","Site 1_Torrens Island ","T10004","Tidal marsh",2016,34.78475,138.5200833,0,0.1,6.818496374,0.548177118,0.576737725,"https://doi.org/10.1071/SR20040"
"5","Asanopouos_et_al_2021","Site 1_Torrens Island ","T10005","Mangrove",2016,34.78475,138.5200833,0,0.1,2.077922084,0.169733915,0.823228943,"https://doi.org/10.1071/SR20040"
"6","Asanopouos_et_al_2021","Site 1_Torrens Island ","T10006","Mangrove",2016,34.78475,138.5200833,0,0.1,7.812557685,0.679289026,0.334026437,"https://doi.org/10.1071/SR20040"
"7","Asanopouos_et_al_2021","Site 1_Torrens Island ","T10007","Mangrove",2016,34.78475,138.5200833,0,0.1,6.664214409,0.548563723,0.365459538,"https://doi.org/10.1071/SR20040"
"8","Asanopouos_et_al_2021","Site 1_Torrens Island ","T10008","Mangrove",2016,34.78475,138.5200833,0,0.1,4.111067674,0.319984093,0.684366255,"https://doi.org/10.1071/SR20040"
"9","Asanopouos_et_al_2021","Site 1_Torrens Island ","T20001","Tidal marsh",2016,34.78488889,138.5201667,0,0.1,8.596243975,0.692862962,0.478260604,"https://doi.org/10.1071/SR20040"
"10","Asanopouos_et_al_2021","Site 1_Torrens Island ","T20002","Tidal marsh",2016,34.78488889,138.5201667,0,0.1,8.833608149,0.747314256,0.358297566,"https://doi.org/10.1071/SR20040"
"11","Asanopouos_et_al_2021","Site 1_Torrens Island ","T20003","Tidal marsh",2016,34.78488889,138.5201667,0,0.1,7.548323509,0.577825404,0.471695463,"https://doi.org/10.1071/SR20040"
"12","Asanopouos_et_al_2021","Site 1_Torrens Island ","T20004","Tidal marsh",2016,34.78488889,138.5201667,0,0.1,5.577634591,0.456313166,0.555251808,"https://doi.org/10.1071/SR20040"
"13","Asanopouos_et_al_2021","Site 1_Torrens Island ","T20005","Mangrove",2016,34.78488889,138.5201667,0,0.1,7.738993037,0.632876918,0.414399683,"https://doi.org/10.1071/SR20040"
"14","Asanopouos_et_al_2021","Site 1_Torrens Island ","T20006","Mangrove",2016,34.78488889,138.5201667,0,0.1,5.860065848,0.488975329,0.490197225,"https://doi.org/10.1071/SR20040"
"15","Asanopouos_et_al_2021","Site 1_Torrens Island ","T20007","Mangrove",2016,34.78488889,138.5201667,0,0.1,4.690501688,0.412546845,0.553063427,"https://doi.org/10.1071/SR20040"
"16","Asanopouos_et_al_2021","Site 1_Torrens Island ","T20008","Mangrove",2016,34.78488889,138.5201667,0,0.1,3.948225191,0.345683771,0.571963077,"https://doi.org/10.1071/SR20040"
"17","Asanopouos_et_al_2021","Site 1_Torrens Island ","T30001","Tidal marsh",2016,34.78491667,138.5201389,0,0.1,9.434004543,0.718023196,0.375207778,"https://doi.org/10.1071/SR20040"
"18","Asanopouos_et_al_2021","Site 1_Torrens Island ","T30002","Tidal marsh",2016,34.78491667,138.5201389,0,0.1,8.516014564,0.653176882,0.42772891,"https://doi.org/10.1071/SR20040"
"19","Asanopouos_et_al_2021","Site 1_Torrens Island ","T30003","Tidal marsh",2016,34.78491667,138.5201389,0,0.1,8.060766672,0.644124579,0.422954261,"https://doi.org/10.1071/SR20040"
"20","Asanopouos_et_al_2021","Site 1_Torrens Island ","T30004","Tidal marsh",2016,34.78491667,138.5201389,0,0.1,5.476846769,0.437489329,0.490992999,"https://doi.org/10.1071/SR20040"
"21","Asanopouos_et_al_2021","Site 1_Torrens Island ","T30005","Mangrove",2016,34.78491667,138.5201389,0,0.1,2.55659058,0.206426522,0.782047602,"https://doi.org/10.1071/SR20040"
"22","Asanopouos_et_al_2021","Site 1_Torrens Island ","T30006","Mangrove",2016,34.78491667,138.5201389,0,0.1,6.867742063,0.544039133,0.445434897,"https://doi.org/10.1071/SR20040"
"23","Asanopouos_et_al_2021","Site 1_Torrens Island ","T30007","Mangrove",2016,34.78491667,138.5201389,0,0.1,3.989073495,0.334840807,0.617720123,"https://doi.org/10.1071/SR20040"
"24","Asanopouos_et_al_2021","Site 1_Torrens Island ","T30008","Mangrove",2016,34.78491667,138.5201389,0,0.1,4.458490595,0.355504633,0.695308158,"https://doi.org/10.1071/SR20040"
"25","Asanopouos_et_al_2021","Site 2_Port Gawler ","PGT40001","Tidal marsh",2016,34.66233333,138.4476111,0,0.1,2.677556513,0.35083138,0.418975388,"https://doi.org/10.1071/SR20040"
"26","Asanopouos_et_al_2021","Site 2_Port Gawler ","PGT40002","Tidal marsh",2016,34.66233333,138.4476111,0,0.1,1.901549271,0.253456237,0.642190195,"https://doi.org/10.1071/SR20040"
"27","Asanopouos_et_al_2021","Site 2_Port Gawler ","PGT40003","Tidal marsh",2016,34.66233333,138.4476111,0,0.1,1.89674365,0.24517725,0.665466606,"https://doi.org/10.1071/SR20040"
"28","Asanopouos_et_al_2021","Site 2_Port Gawler ","PGT40004","Tidal marsh",2016,34.66233333,138.4476111,0,0.1,1.473680365,0.202321239,0.816265914,"https://doi.org/10.1071/SR20040"
"29","Asanopouos_et_al_2021","Site 2_Port Gawler ","PGT40005","Mangrove",2016,34.66233333,138.4476111,0,0.1,2.764356186,0.363472149,0.508301099,"https://doi.org/10.1071/SR20040"
"30","Asanopouos_et_al_2021","Site 2_Port Gawler ","PGT40006","Mangrove",2016,34.66233333,138.4476111,0,0.1,3.894424549,0.483991033,0.480647928,"https://doi.org/10.1071/SR20040"
"31","Asanopouos_et_al_2021","Site 2_Port Gawler ","PGT40007","Mangrove",2016,34.66233333,138.4476111,0,0.1,1.912243485,0.25829797,0.611353925,"https://doi.org/10.1071/SR20040"
"32","Asanopouos_et_al_2021","Site 2_Port Gawler ","PGT40008","Mangrove",2016,34.66233333,138.4476111,0,0.1,2.278993419,0.313378109,0.560424343,"https://doi.org/10.1071/SR20040"
"33","Asanopouos_et_al_2021","Site 2_Port Gawler ","PGT50001","Tidal marsh",2016,34.66252778,138.4476944,0,0.1,2.89657116,0.36736414,0.434492995,"https://doi.org/10.1071/SR20040"
"34","Asanopouos_et_al_2021","Site 2_Port Gawler ","PGT50002","Tidal marsh",2016,34.66252778,138.4476944,0,0.1,2.858621194,0.389842775,0.579323993,"https://doi.org/10.1071/SR20040"
"35","Asanopouos_et_al_2021","Site 2_Port Gawler ","PGT50003","Tidal marsh",2016,34.66252778,138.4476944,0,0.1,3.183565236,0.398300102,0.530383848,"https://doi.org/10.1071/SR20040"
