"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"1","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0,0.05,4.44912,0.29813,0.708940377,"https://doi.org/10.1002/2017JG003775"
"2","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.05,0.11,1.22347,0.08407,1.576102122,"https://doi.org/10.1002/2017JG003775"
"3","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.11,0.16,0.69573,0.05771,1.551825668,"https://doi.org/10.1002/2017JG003775"
"4","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.16,0.21,0.61306,0.04409,1.454040788,"https://doi.org/10.1002/2017JG003775"
"5","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.21,0.26,1.34253,0.05495,1.174437148,"https://doi.org/10.1002/2017JG003775"
"6","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.26,0.32,1.43752,0.0533,1.142045907,"https://doi.org/10.1002/2017JG003775"
"7","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.32,0.37,2.02038,0.07041,1.125544708,"https://doi.org/10.1002/2017JG003775"
"8","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.37,0.42,1.79587,0.06281,1.201939145,"https://doi.org/10.1002/2017JG003775"
"9","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.42,0.47,2.01497,0.07243,1.19990196,"https://doi.org/10.1002/2017JG003775"
"10","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.47,0.53,2.19055,0.08804,1.284241419,"https://doi.org/10.1002/2017JG003775"
"11","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.53,0.63,1.22366,0.05431,1.373062685,"https://doi.org/10.1002/2017JG003775"
"12","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.63,0.74,0.97473,0.04325,1.512609857,"https://doi.org/10.1002/2017JG003775"
"13","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.74,0.84,0.38994,0.01959,1.74016342,"https://doi.org/10.1002/2017JG003775"
"14","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.84,0.95,0.55564,0.02174,1.574947718,"https://doi.org/10.1002/2017JG003775"
"15","Kelleway_et_al_2017","POR-M","S3","Salt marsh",2014,-32.66858,152.1445,0.95,1.05,0.48553,0.01975,1.892137421,"https://doi.org/10.1002/2017JG003775"
"16","Kelleway_et_al_2017","POR-F","S4","Salt marsh",2014,-32.64338,151.98847,0,0.06,5.84286,0.43961,0.509296248,"https://doi.org/10.1002/2017JG003775"
"17","Kelleway_et_al_2017","POR-F","S4","Salt marsh",2014,-32.64338,151.98847,0.06,0.12,3.82993,0.30271,0.566337428,"https://doi.org/10.1002/2017JG003775"
"18","Kelleway_et_al_2017","POR-F","S4","Salt marsh",2014,-32.64338,151.98847,0.12,0.18,3.5111,0.27175,0.508277656,"https://doi.org/10.1002/2017JG003775"
"19","Kelleway_et_al_2017","POR-F","S4","Salt marsh",2014,-32.64338,151.98847,0.18,0.24,2.83912,0.18669,0.662085123,"https://doi.org/10.1002/2017JG003775"
"20","Kelleway_et_al_2017","POR-F","S4","Salt marsh",2014,-32.64338,151.98847,0.24,0.31,1.45869,0.10736,0.717598414,"https://doi.org/10.1002/2017JG003775"
"21","Kelleway_et_al_2017","POR-F","S4","Salt marsh",2014,-32.64338,151.98847,0.31,0.37,1.7465,0.14256,0.759055128,"https://doi.org/10.1002/2017JG003775"
"22","Kelleway_et_al_2017","POR-F","S4","Salt marsh",2014,-32.64338,151.98847,0.37,0.43,1.18987,0.09488,0.987525425,"https://doi.org/10.1002/2017JG003775"
"23","Kelleway_et_al_2017","POR-F","S4","Salt marsh",2014,-32.64338,151.98847,0.43,0.49,1.04481,0.08335,1.061780818,"https://doi.org/10.1002/2017JG003775"
