"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"1","Rovai_et_al_2018","S25_ET_SC1",1,"mangrove",2015,-27.452245,-48.522762,0.05,0.1,1.247,0.147,0.753,"https://doi.org/10.1038/s41558-018-0162-5"
"2","Rovai_et_al_2018","S25_ET_SC1",1,"mangrove",2015,-27.452245,-48.522762,0.2,0.25,2.826,0.191,0.563,"https://doi.org/10.1038/s41558-018-0162-5"
"3","Rovai_et_al_2018","S25_ET_SC1",1,"mangrove",2015,-27.452245,-48.522762,0.375,0.425,0.1,0.028,1.371,"https://doi.org/10.1038/s41558-018-0162-5"
"4","Rovai_et_al_2018","S25_ET_SC1",1,"mangrove",2015,-27.452245,-48.522762,0.725,0.775,0.128,0.04,1.572,"https://doi.org/10.1038/s41558-018-0162-5"
"5","Rovai_et_al_2018","S25_ET_SC1",2,"mangrove",2015,-27.452245,-48.522762,0.05,0.1,4.271,0.377,0.437,"https://doi.org/10.1038/s41558-018-0162-5"
"6","Rovai_et_al_2018","S25_ET_SC1",2,"mangrove",2015,-27.452245,-48.522762,0.2,0.25,5.521,0.364,0.356,"https://doi.org/10.1038/s41558-018-0162-5"
"7","Rovai_et_al_2018","S25_ET_SC1",2,"mangrove",2015,-27.452245,-48.522762,0.375,0.425,0.883,0.145,0.931,"https://doi.org/10.1038/s41558-018-0162-5"
"8","Rovai_et_al_2018","S25_ET_SC1",2,"mangrove",2015,-27.452245,-48.522762,0.725,0.775,3.526,0.298,0.465,"https://doi.org/10.1038/s41558-018-0162-5"
"9","Rovai_et_al_2018","S25_ET_SC1",3,"mangrove",2015,-27.452245,-48.522762,0.05,0.1,5.677,0.353,0.476,"https://doi.org/10.1038/s41558-018-0162-5"
"10","Rovai_et_al_2018","S25_ET_SC1",3,"mangrove",2015,-27.452245,-48.522762,0.2,0.25,4.162,0.321,0.493,"https://doi.org/10.1038/s41558-018-0162-5"
"11","Rovai_et_al_2018","S25_ET_SC1",3,"mangrove",2015,-27.452245,-48.522762,0.375,0.425,0.652,0.094,1.157,"https://doi.org/10.1038/s41558-018-0162-5"
"12","Rovai_et_al_2018","S25_ET_SC1",3,"mangrove",2015,-27.452245,-48.522762,0.725,0.775,3.055,0.29,0.534,"https://doi.org/10.1038/s41558-018-0162-5"
"13","Rovai_et_al_2018","S25_ET_SC2",1,"mangrove",2015,-26.183504,-48.623635,0.05,0.1,5.738,0.339,0.462,"https://doi.org/10.1038/s41558-018-0162-5"
"14","Rovai_et_al_2018","S25_ET_SC2",1,"mangrove",2015,-26.183504,-48.623635,0.2,0.25,4.835,0.264,0.478,"https://doi.org/10.1038/s41558-018-0162-5"
"15","Rovai_et_al_2018","S25_ET_SC2",1,"mangrove",2015,-26.183504,-48.623635,0.375,0.425,4.364,0.277,0.504,"https://doi.org/10.1038/s41558-018-0162-5"
"16","Rovai_et_al_2018","S25_ET_SC2",1,"mangrove",2015,-26.183504,-48.623635,0.725,0.775,0.794,0.059,1.061,"https://doi.org/10.1038/s41558-018-0162-5"
"17","Rovai_et_al_2018","S25_ET_SC2",2,"mangrove",2015,-26.183504,-48.623635,0.05,0.1,1.124,0.074,0.925,"https://doi.org/10.1038/s41558-018-0162-5"
"18","Rovai_et_al_2018","S25_ET_SC2",2,"mangrove",2015,-26.183504,-48.623635,0.2,0.25,0.764,0.058,1,"https://doi.org/10.1038/s41558-018-0162-5"
"19","Rovai_et_al_2018","S25_ET_SC2",2,"mangrove",2015,-26.183504,-48.623635,0.375,0.425,2.326,0.126,0.672,"https://doi.org/10.1038/s41558-018-0162-5"
"20","Rovai_et_al_2018","S25_ET_SC2",2,"mangrove",2015,-26.183504,-48.623635,0.725,0.775,1.245,0.074,1.011,"https://doi.org/10.1038/s41558-018-0162-5"
"21","Rovai_et_al_2018","S25_ET_SC2",3,"mangrove",2015,-26.183504,-48.623635,0.05,0.1,2.137,0.106,0.809,"https://doi.org/10.1038/s41558-018-0162-5"
"22","Rovai_et_al_2018","S25_ET_SC2",3,"mangrove",2015,-26.183504,-48.623635,0.2,0.25,5.646,0.173,0.868,"https://doi.org/10.1038/s41558-018-0162-5"
"23","Rovai_et_al_2018","S25_ET_SC2",3,"mangrove",2015,-26.183504,-48.623635,0.375,0.425,1.865,0.115,0.804,"https://doi.org/10.1038/s41558-018-0162-5"
"24","Rovai_et_al_2018","S25_ET_SC2",3,"mangrove",2015,-26.183504,-48.623635,0.725,0.775,0.697,0.04,1.157,"https://doi.org/10.1038/s41558-018-0162-5"
"25","Rovai_et_al_2018","S25_ET_SC3",1,"mangrove",2015,-25.870301,-48.630632,0.05,0.1,2.496,0.18,0.65,"https://doi.org/10.1038/s41558-018-0162-5"
"26","Rovai_et_al_2018","S25_ET_SC3",1,"mangrove",2015,-25.870301,-48.630632,0.2,0.25,0.977,0.098,1.001,"https://doi.org/10.1038/s41558-018-0162-5"
"27","Rovai_et_al_2018","S25_ET_SC3",1,"mangrove",2015,-25.870301,-48.630632,0.375,0.425,0.431,0.07,1.164,"https://doi.org/10.1038/s41558-018-0162-5"
"28","Rovai_et_al_2018","S25_ET_SC3",1,"mangrove",2015,-25.870301,-48.630632,0.725,0.775,1.118,0.111,0.771,"https://doi.org/10.1038/s41558-018-0162-5"
"29","Rovai_et_al_2018","S25_ET_SC3",2,"mangrove",2015,-25.870301,-48.630632,0.05,0.1,3.926,0.299,0.537,"https://doi.org/10.1038/s41558-018-0162-5"
"30","Rovai_et_al_2018","S25_ET_SC3",2,"mangrove",2015,-25.870301,-48.630632,0.2,0.25,2.993,0.214,0.487,"https://doi.org/10.1038/s41558-018-0162-5"
"31","Rovai_et_al_2018","S25_ET_SC3",2,"mangrove",2015,-25.870301,-48.630632,0.375,0.425,4.412,0.322,0.42,"https://doi.org/10.1038/s41558-018-0162-5"
"32","Rovai_et_al_2018","S25_ET_SC3",2,"mangrove",2015,-25.870301,-48.630632,0.725,0.775,2.269,0.18,0.597,"https://doi.org/10.1038/s41558-018-0162-5"
"33","Rovai_et_al_2018","S25_ET_SC3",3,"mangrove",2015,-25.870301,-48.630632,0.05,0.1,4.786,0.345,0.387,"https://doi.org/10.1038/s41558-018-0162-5"
"34","Rovai_et_al_2018","S25_ET_SC3",3,"mangrove",2015,-25.870301,-48.630632,0.2,0.25,1.648,0.169,0.675,"https://doi.org/10.1038/s41558-018-0162-5"
"35","Rovai_et_al_2018","S25_ET_SC3",3,"mangrove",2015,-25.870301,-48.630632,0.375,0.425,1.391,0.122,0.954,"https://doi.org/10.1038/s41558-018-0162-5"
"36","Rovai_et_al_2018","S25_ET_SC3",3,"mangrove",2015,-25.870301,-48.630632,0.725,0.775,1.227,0.112,0.81,"https://doi.org/10.1038/s41558-018-0162-5"
"37","Rovai_et_al_2018","S10_DT_BA1",1,"mangrove",2015,-17.769699,-39.332558,0.05,0.1,2.701,0.257,0.529,"https://doi.org/10.1038/s41558-018-0162-5"
"38","Rovai_et_al_2018","S10_DT_BA1",1,"mangrove",2015,-17.769699,-39.332558,0.2,0.25,2.424,0.174,0.762,"https://doi.org/10.1038/s41558-018-0162-5"
"39","Rovai_et_al_2018","S10_DT_BA1",1,"mangrove",2015,-17.769699,-39.332558,0.375,0.425,3.058,0.182,0.704,"https://doi.org/10.1038/s41558-018-0162-5"
"40","Rovai_et_al_2018","S10_DT_BA1",1,"mangrove",2015,-17.769699,-39.332558,0.725,0.775,2.628,0.161,0.7,"https://doi.org/10.1038/s41558-018-0162-5"
"41","Rovai_et_al_2018","S10_DT_BA1",2,"mangrove",2015,-17.769699,-39.332558,0.05,0.1,2.808,0.192,0.738,"https://doi.org/10.1038/s41558-018-0162-5"
"42","Rovai_et_al_2018","S10_DT_BA1",2,"mangrove",2015,-17.769699,-39.332558,0.2,0.25,3.181,0.188,0.718,"https://doi.org/10.1038/s41558-018-0162-5"
"43","Rovai_et_al_2018","S10_DT_BA1",2,"mangrove",2015,-17.769699,-39.332558,0.375,0.425,4.319,0.224,0.684,"https://doi.org/10.1038/s41558-018-0162-5"
"44","Rovai_et_al_2018","S10_DT_BA1",2,"mangrove",2015,-17.769699,-39.332558,0.725,0.775,1.224,0.123,0.858,"https://doi.org/10.1038/s41558-018-0162-5"
"45","Rovai_et_al_2018","S10_DT_BA1",3,"mangrove",2015,-17.769699,-39.332558,0.05,0.1,2.525,0.24,0.736,"https://doi.org/10.1038/s41558-018-0162-5"
"46","Rovai_et_al_2018","S10_DT_BA1",3,"mangrove",2015,-17.769699,-39.332558,0.2,0.25,3.17,0.244,0.734,"https://doi.org/10.1038/s41558-018-0162-5"
"47","Rovai_et_al_2018","S10_DT_BA1",3,"mangrove",2015,-17.769699,-39.332558,0.375,0.425,2.587,0.199,0.745,"https://doi.org/10.1038/s41558-018-0162-5"
"48","Rovai_et_al_2018","S10_DT_BA1",3,"mangrove",2015,-17.769699,-39.332558,0.725,0.775,1.321,0.117,0.85,"https://doi.org/10.1038/s41558-018-0162-5"
"49","Rovai_et_al_2018","S10_DT_BA2",1,"mangrove",2015,-17.788452,-39.331621,0.05,0.1,8.82,1.162,0.298,"https://doi.org/10.1038/s41558-018-0162-5"
"50","Rovai_et_al_2018","S10_DT_BA2",1,"mangrove",2015,-17.788452,-39.331621,0.2,0.25,7.843,0.43,0.377,"https://doi.org/10.1038/s41558-018-0162-5"
