"","study_id","site_id","core_id","Habitat_type","Soil_type","Country","Nation","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","Method","OC_perc","N_perc","BD_reported_g_cm3"
"1","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Peat (Turfa herbacea)","UK","Scotland",2019,58.447189,-4.4781295,0,0.01,"EA",24.66,1.52,0.2
"2","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Peat (Turfa herbacea)","UK","Scotland",2019,58.447189,-4.4781295,0.01,0.02,"EA",23.23,1.58,0.22
"3","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Peat (Turfa herbacea)","UK","Scotland",2019,58.447189,-4.4781295,0.02,0.03,"EA",21.56,1.45,0.26
"4","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Peat (Turfa herbacea)","UK","Scotland",2019,58.447189,-4.4781295,0.03,0.04,"EA",22.58,1.43,0.22
"5","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Peat (Turfa herbacea)","UK","Scotland",2019,58.447189,-4.4781295,0.04,0.05,"EA",23.09,0.64,0.4
"6","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Peat (Turfa herbacea)","UK","Scotland",2019,58.447189,-4.4781295,0.05,0.06,"EA",21.99,0.86,0.35
"7","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Peat (Turfa herbacea)","UK","Scotland",2019,58.447189,-4.4781295,0.06,0.07,"EA",23.07,0.73,0.25
"8","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Peat (Turfa herbacea)","UK","Scotland",2019,58.447189,-4.4781295,0.07,0.08,"EA",19.06,0.97,0.23
"9","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Peat (Turfa herbacea)","UK","Scotland",2019,58.447189,-4.4781295,0.08,0.09,"EA",18.17,0.83,0.36
"10","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Peat (Turfa herbacea)","UK","Scotland",2019,58.447189,-4.4781295,0.09,0.1,"EA",19.08,0.71,0.36
"11","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Peat (Turfa herbacea)","UK","Scotland",2019,58.447189,-4.4781295,0.1,0.11,"EA",19.77,1.61,0.22
"12","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Peat (Turfa herbacea)","UK","Scotland",2019,58.447189,-4.4781295,0.11,0.12,"EA",18.47,1.67,0.22
"13","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.12,0.13,"EA",12.76,1.19,0.31
"14","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.13,0.14,"EA",13.26,0.74,0.36
"15","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.14,0.15,"EA",12.31,1.7,0.24
"16","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.15,0.16,"EA",12.5,1.63,0.29
"17","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.16,0.17,"EA",14.32,1.41,0.29
"18","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.17,0.18,"EA",14.69,1.24,0.3
"19","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.18,0.19,"EA",13.18,1.06,0.36
"20","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.19,0.2,"EA",13.18,1.38,0.22
"21","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.2,0.21,"EA",13.12,1.04,0.41
"22","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.21,0.22,"EA",10.65,1.35,0.36
"23","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.22,0.23,"EA",11.48,1.16,0.32
"24","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.23,0.24,"EA",11.48,1.4,0.34
"25","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.24,0.25,"EA",13.51,1.5,0.34
"26","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.25,0.26,"EA",11.41,0.78,0.41
"27","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.26,0.27,"EA",12.28,0.85,0.38
"28","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.27,0.28,"EA",12.27,1.06,0.38
"29","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.28,0.29,"EA",11.82,1.08,0.38
"30","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.29,0.3,"EA",11.6,1.1,0.38
"31","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Humified Peat (Substantia Humosa)","UK","Scotland",2019,58.447189,-4.4781295,0.3,0.31,"EA",10.74,0.82,0.42
"32","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Silt with Organic","UK","Scotland",2019,58.447189,-4.4781295,0.31,0.32,"EA",2.53,NA,0.42
"33","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Silt with Organic","UK","Scotland",2019,58.447189,-4.4781295,0.32,0.33,"EA",3.04,0.77,0.42
"34","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Silt with Organic","UK","Scotland",2019,58.447189,-4.4781295,0.33,0.34,"EA",2.75,NA,0.4
"35","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Silt with Organic","UK","Scotland",2019,58.447189,-4.4781295,0.34,0.35,"EA",2.45,0.64,0.47
"36","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Silt with Organic","UK","Scotland",2019,58.447189,-4.4781295,0.35,0.36,"EA",2.46,NA,0.5
"37","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Silt with Organic","UK","Scotland",2019,58.447189,-4.4781295,0.36,0.37,"EA",4.89,1.11,0.38
"38","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Silt with Organic","UK","Scotland",2019,58.447189,-4.4781295,0.37,0.38,"EA",3.12,NA,0.4
"39","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Silt with Organic","UK","Scotland",2019,58.447189,-4.4781295,0.38,0.39,"EA",2.97,0.69,0.42
"40","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Silt with Organic","UK","Scotland",2019,58.447189,-4.4781295,0.39,0.4,"EA",2.98,NA,0.46
"41","Smeaton_et_al","CS KT-19-1","KT-19-1","Saltmarsh","Silt with Organic","UK","Scotland",2019,58.447189,-4.4781295,0.4,0.41,"EA",4.58,0.53,0.49
