"","study_id","site_id","core_id","Habitat_type","Country","Year_collected","Latitude","Longitude","accuracy_flag","accuracy_code","U_depth_m","L_depth_m","Method","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"1","Yuan_et_al_2017","Andong salt marsh","TA 8","Salt marsh","China",2014,"30.366","121.193","direct from dataset","1",0,0.05,"EA",0.72,0.09,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"2","Yuan_et_al_2017","Andong salt marsh","TA 7","Salt marsh","China",2014,"30.369","121.193","direct from dataset","1",0,0.05,"EA",0.79,0.09,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"3","Yuan_et_al_2017","Andong salt marsh","TA 6","Salt marsh","China",2014,"30.371","121.192","direct from dataset","1",0,0.05,"EA",0.63,0.08,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"4","Yuan_et_al_2017","Andong salt marsh","TA 5","Salt marsh","China",2014,"30.373","121.192","direct from dataset","1",0,0.05,"EA",0.48,0.06,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"5","Yuan_et_al_2017","Andong salt marsh","TA 4","Salt marsh","China",2014,"30.376","121.192","direct from dataset","1",0,0.05,"EA",0.38,0.05,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"6","Yuan_et_al_2017","Andong salt marsh","TA 3","Salt marsh","China",2014,"30.378","121.192","direct from dataset","1",0,0.05,"EA",0.29,0.04,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"7","Yuan_et_al_2017","Andong salt marsh","TA 2","Salt marsh","China",2014,"30.379","121.191","direct from dataset","1",0,0.05,"EA",0.18,0.03,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"8","Yuan_et_al_2017","Andong salt marsh","TA 1","Salt marsh","China",2014,"30.381","121.191","direct from dataset","1",0,0.05,"EA",0.28,0.04,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"9","Yuan_et_al_2017","Andong salt marsh","TC 10","Salt marsh","China",2014,"30.366","121.185","direct from dataset","1",0,0.05,"EA",0.74,0.07,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"10","Yuan_et_al_2017","Andong salt marsh","TC 9","Salt marsh","China",2014,"30.367","121.186","direct from dataset","1",0,0.05,"EA",0.67,0.08,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"11","Yuan_et_al_2017","Andong salt marsh","TC 8","Salt marsh","China",2014,"30.370","121.186","direct from dataset","1",0,0.05,"EA",0.58,0.07,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"12","Yuan_et_al_2017","Andong salt marsh","TC 7","Salt marsh","China",2014,"30.371","121.186","direct from dataset","1",0,0.05,"EA",0.65,0.07,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"13","Yuan_et_al_2017","Andong salt marsh","TC 6","Salt marsh","China",2014,"30.372","121.185","direct from dataset","1",0,0.05,"EA",0.61,0.07,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"14","Yuan_et_al_2017","Andong salt marsh","TC 3","Salt marsh","China",2014,"30.377","121.184","direct from dataset","1",0,0.05,"EA",0.36,0.04,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"15","Yuan_et_al_2017","Andong salt marsh","TC 2","Salt marsh","China",2014,"30.379","121.184","direct from dataset","1",0,0.05,"EA",0.47,0.05,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"16","Yuan_et_al_2017","Andong salt marsh","TC 1","Salt marsh","China",2014,"30.381","121.184","direct from dataset","1",0,0.05,"EA",0.44,0.05,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
