"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"1","Adame_unpublished","Chapala",1,"Salt marsh",2018,"30.513344","-115.982706",0,0.15,10.26,0.92,0.29,NA
"2","Adame_unpublished","Chapala",1,"Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,6.27,0.52,0.49,NA
"3","Adame_unpublished","Chapala",1,"Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,2.75,0.27,0.82,NA
"4","Adame_unpublished","Chapala",1,"Salt marsh",2018,"30.513344","-115.982706",0.5,1,2.56,0.24,0.87,NA
"5","Adame_unpublished","Chapala",2,"Salt marsh",2018,"30.513344","-115.982706",0,0.15,8.69,0.78,0.35,NA
"6","Adame_unpublished","Chapala",2,"Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,7.53,0.66,0.5,NA
"7","Adame_unpublished","Chapala",2,"Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,2.82,0.3,0.82,NA
"8","Adame_unpublished","Chapala",2,"Salt marsh",2018,"30.513344","-115.982706",0.5,1,2.25,0.22,1.02,NA
"9","Adame_unpublished","Chapala",3,"Salt marsh",2018,"30.513344","-115.982706",0,0.15,8.48,0.8,0.36,NA
"10","Adame_unpublished","Chapala",3,"Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,6.22,0.56,0.42,NA
"11","Adame_unpublished","Chapala",3,"Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,3.04,0.33,0.6,NA
"12","Adame_unpublished","Chapala",3,"Salt marsh",2018,"30.513344","-115.982706",0.5,1,4.79,0.43,0.7,NA
"13","Adame_unpublished","Chapala",4,"Salt marsh",2018,"30.513344","-115.982706",0,0.15,11.95,1.03,0.26,NA
"14","Adame_unpublished","Chapala",4,"Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,9.38,0.81,0.25,NA
"15","Adame_unpublished","Chapala",4,"Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,6.49,0.71,0.67,NA
"16","Adame_unpublished","Chapala",4,"Salt marsh",2018,"30.513344","-115.982706",0.5,1,0.66,0.08,1.34,NA
"17","Adame_unpublished","Chapala",5,"Salt marsh",2018,"30.513344","-115.982706",0,0.15,15.33,1.27,0.23,NA
"18","Adame_unpublished","Chapala",5,"Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,4.84,0.55,0.53,NA
"19","Adame_unpublished","Chapala",5,"Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,13.99,1.47,0.61,NA
"20","Adame_unpublished","Chapala",5,"Salt marsh",2018,"30.513344","-115.982706",0.5,1,3.94,0.37,0.79,NA
"21","Adame_unpublished","Kenton",1,"Salt marsh",2018,"30.465747","-115.980806",0,0.15,6.43,0.75,0.52,NA
"22","Adame_unpublished","Kenton",1,"Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,3.09,0.37,0.64,NA
"23","Adame_unpublished","Kenton",1,"Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,3.86,0.36,0.96,NA
"24","Adame_unpublished","Kenton",1,"Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.47,0.06,1.27,NA
"25","Adame_unpublished","Kenton",2,"Salt marsh",2018,"30.465747","-115.980806",0,0.15,3.82,0.5,0.52,NA
"26","Adame_unpublished","Kenton",2,"Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,2.41,0.3,0.88,NA
"27","Adame_unpublished","Kenton",2,"Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,2.48,0.3,1.12,NA
"28","Adame_unpublished","Kenton",2,"Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.7,0.09,1.32,NA
"29","Adame_unpublished","Kenton",3,"Salt marsh",2018,"30.465747","-115.980806",0,0.15,6.96,0.75,0.35,NA
"30","Adame_unpublished","Kenton",3,"Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,3.38,0.39,0.57,NA
"31","Adame_unpublished","Kenton",3,"Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,2.51,0.27,1.02,NA
"32","Adame_unpublished","Kenton",3,"Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.58,0.08,1.53,NA
"33","Adame_unpublished","Kenton",4,"Salt marsh",2018,"30.465747","-115.980806",0,0.15,3.92,0.48,0.5,NA
"34","Adame_unpublished","Kenton",4,"Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,3.02,0.37,0.7,NA
"35","Adame_unpublished","Kenton",4,"Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,0.84,0.1,1.29,NA
"36","Adame_unpublished","Kenton",4,"Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.15,0.02,1.94,NA
"37","Adame_unpublished","Kenton",5,"Salt marsh",2018,"30.465747","-115.980806",0,0.15,3.56,0.42,0.79,NA
"38","Adame_unpublished","Kenton",5,"Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,2.24,0.27,0.87,NA
"39","Adame_unpublished","Kenton",5,"Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,2.13,0.24,1.12,NA
"40","Adame_unpublished","Kenton",5,"Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.22,0.03,2.32,NA
"41","Adame_unpublished","Arco",1,"Salt marsh",2018,"30.457969","-116.025869",0,0.15,15.56,1.6,0.52,NA
"42","Adame_unpublished","Arco",1,"Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,10.9,1.2,0.64,NA
"43","Adame_unpublished","Arco",1,"Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,8.34,1.09,0.96,NA
"44","Adame_unpublished","Arco",1,"Salt marsh",2018,"30.457969","-116.025869",0.5,1,2.6,0.3,1.27,NA
"45","Adame_unpublished","Arco",2,"Salt marsh",2018,"30.457969","-116.025869",0,0.15,14.5,1.34,0.52,NA
"46","Adame_unpublished","Arco",2,"Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,4.67,0.54,0.88,NA
"47","Adame_unpublished","Arco",2,"Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,11.2,1.43,1.12,NA
"48","Adame_unpublished","Arco",2,"Salt marsh",2018,"30.457969","-116.025869",0.5,1,7.48,0.85,1.32,NA
"49","Adame_unpublished","Arco",3,"Salt marsh",2018,"30.457969","-116.025869",0,0.15,6.55,0.63,0.35,NA
"50","Adame_unpublished","Arco",3,"Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,3.67,0.42,0.57,NA
"51","Adame_unpublished","Arco",3,"Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,2.37,0.32,1.02,NA
"52","Adame_unpublished","Arco",3,"Salt marsh",2018,"30.457969","-116.025869",0.5,1,1.12,0.12,1.53,NA
"53","Adame_unpublished","Arco",4,"Salt marsh",2018,"30.457969","-116.025869",0,0.15,3.24,0.34,0.5,NA
"54","Adame_unpublished","Arco",4,"Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,2.6,0.3,0.7,NA
"55","Adame_unpublished","Arco",4,"Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,1.25,0.17,1.29,NA
"56","Adame_unpublished","Arco",4,"Salt marsh",2018,"30.457969","-116.025869",0.5,1,0.82,0.1,1.94,NA
"57","Adame_unpublished","Arco",5,"Salt marsh",2018,"30.457969","-116.025869",0,0.15,4.01,0.37,0.79,NA
"58","Adame_unpublished","Arco",5,"Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,1.68,0.2,0.87,NA
"59","Adame_unpublished","Arco",5,"Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,1.12,0.14,1.12,NA
