"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"1","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0,0.01,4.35,0.63,0.49,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"2","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.01,0.02,2.31,0.36,0.99,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"3","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.02,0.03,1.55,0.23,0.89,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"4","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.03,0.04,0.92,0.13,1.28,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"5","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.04,0.05,0.68,0.09,1.24,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"6","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.05,0.06,0.69,0.08,2.07,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"7","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.06,0.07,0.66,0.08,1.28,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"8","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.07,0.08,0.61,0.07,1.39,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"9","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.08,0.09,0.57,0.07,1.71,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"10","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.09,0.1,0.62,0.08,1.4,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"11","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.1,0.11,0.61,0.08,1.2,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"12","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.11,0.12,0.75,0.1,1.62,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"13","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.12,0.13,0.6,0.08,1.22,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"14","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.13,0.14,0.55,0.07,1.38,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"15","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.14,0.15,0.56,0.07,1.71,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"16","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.15,0.16,0.52,0.06,1.52,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"17","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.16,0.17,0.45,0.05,1.63,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"18","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.17,0.18,0.46,0.06,1.38,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"19","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.18,0.19,0.41,0.05,1.53,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"20","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.19,0.2,0.43,0.05,1.43,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"21","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.2,0.21,0.45,0.05,1.33,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"22","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.21,0.22,0.35,0.04,1.49,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"23","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.22,0.23,0.31,0.03,1.49,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"24","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.23,0.24,0.49,0.06,1.38,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
