"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"1","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.08,0.07,27.93199784,1.518648472,0.105222638,"in_submission"
"2","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.1,0.09,29.241778,1.425278459,0.124359428,"in_submission"
"3","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.14,0.13,28.78055355,1.477129812,0.125250696,"in_submission"
"4","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.06,0.05,30.02183362,1.56205916,0.143381627,"in_submission"
"5","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.01,0,29.89836238,1.486773163,0.144234698,"in_submission"
"6","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.12,0.11,31.56413248,1.520560081,0.149556839,"in_submission"
"7","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.04,0.03,27.82954253,1.566211436,0.152281572,"in_submission"
"8","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.02,0.01,29.10565531,1.385809573,0.173582869,"in_submission"
"9","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.22,0.21,25.98525065,1.30383355,0.17470332,"in_submission"
"10","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.46,0.45,24.1204987,0.882306674,0.183055771,"in_submission"
"11","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.16,0.15,31.97613599,1.409495015,0.183768786,"in_submission"
"12","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.36,0.35,24.88444613,1.081903626,0.188619828,"in_submission"
