"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"1","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0,0.01,8,0.68,0.17,"https://doi.org/10.1177/09596836166328"
"2","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.01,0.02,9.53,0.7,0.15,"https://doi.org/10.1177/09596836166328"
"3","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.02,0.03,9.06,0.64,0.17,"https://doi.org/10.1177/09596836166328"
"4","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.03,0.04,9.23,0.64,0.18,"https://doi.org/10.1177/09596836166328"
"5","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.04,0.05,9.71,0.62,0.21,"https://doi.org/10.1177/09596836166328"
"6","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.05,0.06,9.32,0.6,0.2,"https://doi.org/10.1177/09596836166328"
"7","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.06,0.07,9.4,0.61,0.23,"https://doi.org/10.1177/09596836166328"
"8","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.07,0.08,9.79,0.61,0.31,"https://doi.org/10.1177/09596836166328"
"9","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.08,0.09,10.14,0.61,0.32,"https://doi.org/10.1177/09596836166328"
"10","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.09,0.1,11.28,0.6,0.26,"https://doi.org/10.1177/09596836166328"
"11","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.1,0.11,10.54,0.6,0.22,"https://doi.org/10.1177/09596836166328"
"12","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.11,0.12,11.21,0.6,0.31,"https://doi.org/10.1177/09596836166328"
"13","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.12,0.13,10.54,0.58,0.31,"https://doi.org/10.1177/09596836166328"
"14","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.13,0.14,12.26,0.62,0.26,"https://doi.org/10.1177/09596836166328"
"15","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.14,0.15,13.23,0.61,0.31,"https://doi.org/10.1177/09596836166328"
"16","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.15,0.16,13.07,0.55,0.29,"https://doi.org/10.1177/09596836166328"
"17","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.16,0.17,10.18,0.47,0.37,"https://doi.org/10.1177/09596836166328"
"18","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.17,0.18,8.82,0.42,0.39,"https://doi.org/10.1177/09596836166328"
"19","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.18,0.19,8.35,0.4,0.37,"https://doi.org/10.1177/09596836166328"
"20","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.19,0.2,9.12,0.4,0.38,"https://doi.org/10.1177/09596836166328"
"21","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.2,0.21,8.73,0.4,0.37,"https://doi.org/10.1177/09596836166328"
"22","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.21,0.22,6.72,0.33,0.46,"https://doi.org/10.1177/09596836166328"
"23","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.22,0.23,7.81,0.35,0.3,"https://doi.org/10.1177/09596836166328"
"24","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.23,0.24,6.75,0.32,0.44,"https://doi.org/10.1177/09596836166328"
"25","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.24,0.25,8.82,0.38,0.27,"https://doi.org/10.1177/09596836166328"
"26","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.25,0.26,11.78,0.41,0.26,"https://doi.org/10.1177/09596836166328"
"27","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.26,0.27,6.83,0.34,0.31,"https://doi.org/10.1177/09596836166328"
